"","990
008","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
057","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
085","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"PhD Thesis-Accounting","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"ACCT I S
232","Dept. Total","2182","3.104","27.9","16.0","29.0","8.7","13.9","3.0","0.9","0.3","0.1",".","",".","",".","",".","0.1","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","58","2.603","13.8","12.1","27.6","8.6","24.1","10.3","3.4",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","355","2.874","21.7","11.3","31.0","5.9","23.9","4.8","1.1",".",".",".","",".","",".","",".","0.3",".","."
"Junior","","722","3.004","22.4","12.6","35.3","12.0","13.4","2.8","1.1",".",".",".","",".","",".","",".","0.1",".","0.1"
"Senior","","685","3.153","28.3","17.5","26.3","9.3","14.0","3.4","0.6","0.4",".",".","",".","",".","",".","0.1",".","."
"Undergraduates","","1820","3.026","24.2","14.2","30.8","9.7","16.0","3.6","1.0","0.2",".",".","",".","",".","",".","0.2",".","0.1"
"Special","","25","2.852","24.0","16.0","8.0","24.0","24.0",".","4.0",".",".",".","",".","",".","",".",".",".","."
"Graduate","","328","3.605","48.8","25.6","20.1","2.1","1.5",".",".","0.9","0.6",".","",".","",".","",".",".","0.3","."
"Prof Yr 1","","1","3.000",".",".","100.0",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Professionals","","9","3.333","11.1","44.4","44.4",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"","Dept. Total","2182","3.104","27.9","16.0","29.0","8.7","13.9","3.0","0.9","0.3","0.1",".","",".","",".","",".","0.1","0.0","0.0"
