"TERM : 1004","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 1999-2000","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY
700","Dept. Total","123","3.793","33.3","11.4","1.6","0.8","",".","",".","",".","51.2","",".",".","",".","1.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","7","3.933","85.7",".","14.3",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","12","3.920","83.3","8.3","8.3",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","2","4.000","50.0",".",".",".","",".","",".","",".","50.0","",".",".","",".",".","",".",".",".","."
"Graduate","","124","3.743","24.2","10.5","0.8","0.8","",".","",".","",".","62.1","",".",".","",".","1.6","",".",".",".","."
"","Dept. Total","138","3.793","29.7","10.1","1.4","0.7","",".","",".","",".","56.5","",".",".","",".","1.4","",".",".",".","."
