"L&S","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"General Physics","103
001","242","3.058","19.0","25.6","22.3","20.7","9.5","2.5","0.4",".",".",".",".",".",".",".",".","."
"","104
001","278","3.070","16.5","24.1","32.4","12.9","12.9",".","0.7","0.4",".",".",".",".",".",".",".","."
"","104
002","156","2.926","15.4","16.7","30.8","14.7","21.8",".","0.6",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","434","3.018","16.1","21.4","31.8","13.6","16.1",".","0.7","0.2",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107
001","92","3.034","20.7","19.6","22.8","17.4","14.1","2.2",".","1.1",".",".",".",".",".",".","1.1","1.1"
"","109
001","90","3.039","22.2","18.9","22.2","20.0","15.6","1.1",".",".",".",".",".",".",".",".",".","."
"","109
002","82","2.927","13.4","25.6","19.5","20.7","19.5",".","1.2",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","172","2.985","18.0","22.1","20.9","20.3","17.4","0.6","0.6",".",".",".",".",".",".",".",".","."
"Energy","115
001","13","3.308","23.1","23.1","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","199
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","201
001","177","2.844","18.6","11.3","24.9","10.7","33.3","0.6",".",".",".",".",".",".","0.6",".",".","."
"","201
002","123","2.766","17.1","10.6","25.2","11.4","31.7","1.6","1.6",".",".",".",".",".","0.8",".",".","."
"General Physics","Course Total","300","2.812","18.0","11.0","25.0","11.0","32.7","1.0","0.7",".",".",".",".",".","0.7",".",".","."
"","202
001","168","2.855","16.7","10.7","28.6","19.6","17.3","1.8","1.8","3.0",".",".",".",".","0.6",".",".","."
"","202
002","203","2.805","11.8","13.8","27.6","21.2","24.1","1.0","0.5",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","371","2.827","14.0","12.4","28.0","20.5","21.0","1.3","1.1","1.3",".",".",".",".","0.3",".",".","."
"Mod Physics for Engineers","205
001","24","3.104","29.2","16.7","16.7","20.8","16.7",".",".",".",".",".",".",".",".",".",".","."
"General Physics","207
001","108","2.931","15.7","15.7","34.3","13.0","19.4","0.9","0.9",".",".",".",".",".",".",".",".","."
"General Physics","208
001","146","2.903","23.3","18.5","14.4","15.8","23.3","3.4","1.4",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","21","2.833","33.3","9.5","19.0","14.3","9.5","4.8","9.5",".",".",".",".",".",".",".",".","."
"Modern Physics","244
001","34","2.868","20.6","14.7","14.7","23.5","23.5","2.9",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265
001","6","3.000",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Physics Today","301
001","17","3.656","70.6","17.6",".",".",".",".","5.9",".",".",".",".",".","5.9",".",".","."
"","308
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
004","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","Course Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","001
311","18","2.971","22.2","22.2","16.7","16.7","11.1",".","5.6","5.6",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","35","3.368","31.4","22.9","34.3","2.9","5.7",".",".","2.9",".",".",".",".",".",".",".","."
"Wave Motion and Optics","325
001","24","3.292","8.3","62.5","16.7","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"Acoustics for Musicians","371
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Laboratory","407
001","6","3.875","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","11","2.850","18.2","9.1","27.3",".","36.4",".",".","9.1",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","449
001","23","3.545","39.1","26.1","30.4",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"Sci Bckgrnd-Globl Envr Prob","472
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Topics in Physics","505
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 268 of 386",""
