"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
100","","17","3.441","52.9","11.8","17.6","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","003
100","","11","3.150","27.3","27.3","27.3",".",".",".","9.1",".",".",".",".",".",".",".",".","9.1"
"","100
004","","11","2.909",".","54.5","27.3",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","005
100","","12","3.208","33.3","25.0","33.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","100
006","","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","73","3.326","37.0","27.4","23.3","1.4","5.5",".","4.1",".",".",".",".",".",".",".",".","1.4"
"Sci&Technology Newswriting","001
111","","18","3.278","38.9","11.1","38.9",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","130
001","","21","3.143","19.0","19.0","33.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","002
130","","21","3.357","33.3","14.3","42.9","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","Course Total","","42","3.250","26.2","16.7","38.1","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"Reporting","001
204","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","","14","3.179","28.6","35.7","7.1","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","212
002","","19","3.816","73.7","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","212
005","","13","3.154","15.4","23.1","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","","46","3.435","43.5","26.1","13.0","13.0","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Informational Photography","260
001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
029","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","15","3.818","93.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Feature Writing","320
001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Features","330
001","","19","3.263","10.5","36.8","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","","21","3.405","23.8","33.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","001
360","","21","3.643","33.3","61.9","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","24","3.795","62.5","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","10","2.920","20.0",".","40.0",".","40.0",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
375","","9","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","46","3.550","45.7","23.9","19.6",".","8.7",".",".",".",".",".",".",".",".",".","2.2","."
"","399
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Advertising Media Planning","459
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Publications Editing","505
001","","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515
001","","19","3.474","36.8","31.6","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","515
002","","17","3.412","29.4","41.2","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","Course Total","","36","3.444","33.3","36.1","16.7","13.9",".",".",".",".",".",".",".",".",".",".",".","."
