"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","",""
"210
Survey of Sociology","001","","11","3.136","18.2","27.3","36.4",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"211
The Sociological Enterprise","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"222
Food, Culture, and Society","001","","33","3.781","78.8","6.1","3.0","6.1","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"260
Latin America-Introduction","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"266
People&Places:Demog-Rur Am","001","","16","3.031","18.8","25.0","18.8","18.8","18.8",".",".",".",".",".",".",".",".",".",".","."
"360","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"360","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","","3","***","","","","","","","","","","","","","","","",""
"541
Soc Bhv & Natural Resources","001","","7","2.857","28.6",".","42.9",".","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"630
Soc:Devlp Societies/3rd Wld","001","","7","3.909","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Sociology of Agriculture","001","","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"750
Research Methods-Sociology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"945
Seminar-Rural Sociology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"948
Smr: Envir & Resource Soc","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"985
Rsch:Sci,Tech,Ag,Rscs&Envir","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","12","",".",".",".",".",".",".",".","75.0","8.3",".",".","16.7",".",".",".","."
"999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading and Research","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
