"","999
063","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
078","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
099","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","17","3.910","82.4","17.6",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"POLI SCI
778","Dept. Total","3415","3.113","22.0","25.6","26.2","10.7","8.2","2.3","1.5","1.3","0.1","0.2","",".","0.8","0.6","0.3","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","332","2.690","12.3","16.3","24.1","18.1","19.3","6.3","3.0",".",".",".","",".",".","0.3","0.3",".","."
"Sophomore","","783","3.079","19.0","27.7","28.2","12.1","7.8","2.8","1.7",".",".","0.1","",".",".","0.3","0.1",".","0.1"
"Junior","","1021","3.104","19.5","28.4","27.1","11.7","7.9","2.4","1.5","0.3",".","0.3","",".",".","0.2","0.4","0.3","0.1"
"Senior","","1049","3.213","25.2","25.4","28.8","8.5","6.8","1.1","1.0","1.9",".","0.3","",".",".","0.5","0.5","0.1","."
"Undergraduates","","3185","3.089","20.5","26.0","27.6","11.4","8.7","2.5","1.5","0.7",".","0.2","",".",".","0.3","0.3","0.1","0.1"
"Special","","30","3.266","30.0","30.0","20.0","10.0","3.3",".","3.3",".",".",".","",".",".","3.3",".",".","."
"Graduate","","194","3.785","46.4","16.5","4.6","0.5","0.5",".",".","11.3","1.5",".","",".","13.4","4.1",".","1.0","."
"Prof Yr 2","","3","3.667","33.3","66.7",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","3","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","3415","3.113","22.0","25.6","26.2","10.7","8.2","2.3","1.5","1.3","0.1","0.2","",".","0.8","0.6","0.3","0.2","0.1"
