"Theory-Interst & Life Insur","303
001","","20","3.658","55.0","15.0","25.0",".",".",".",".","",".","",".","",".",".","",".","",".","",".","5.0","."
"Actuarial Mathematics 2","651
001","","10","2.722",".","30.0","20.0","20.0","10.0","10.0",".","",".","",".","",".",".","",".","",".","","10.0",".","."
"Loss Distributn&Survival Model","653
001","","7","3.643","42.9","42.9","14.3",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"ACT SCI
242","Dept. Total","","37","3.414","37.8","24.3","21.6","5.4","2.7","2.7","",".","",".","",".",".","",".","",".","",".","2.7","2.7","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","3.000",".",".","100.0",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","12","3.625","50.0","25.0","25.0",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","18","3.094","16.7","27.8","22.2","11.1","5.6","5.6","",".","",".","",".",".","",".","",".","",".","5.6","5.6","."
"Undergraduates","","","31","3.310","29.0","25.8","25.8","6.5","3.2","3.2","",".","",".","",".",".","",".","",".","",".","3.2","3.2","."
"Graduate","","","6","3.917","83.3","16.7",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","37","3.414","37.8","24.3","21.6","5.4","2.7","2.7","",".","",".","",".",".","",".","",".","",".","2.7","2.7","."
