"L&S","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"COM ARTS
250","Dept. Total","3835","3.160","21.4","27.4","26.6","11.5","7.0","1.5","1.2","2.6","0.0","0.3","",".","0.1","0.0","0.2",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","533","3.203","21.2","35.6","24.8","9.0","5.6","1.3","2.1",".",".",".","",".",".",".","0.4",".","."
"Sophomore","","878","3.178","19.4","29.0","32.2","12.2","5.1","0.7","1.0",".",".",".","",".",".",".","0.2",".","0.1"
"Junior","","1128","3.091","17.0","28.9","29.3","11.3","9.2","1.5","1.5","0.5",".","0.3","",".",".",".","0.3",".","0.2"
"Senior","","1094","3.129","23.1","24.3","24.8","14.3","7.9","2.7","0.6","1.1","0.1","0.9","",".",".","0.1","0.1",".","."
"Undergraduates","","3633","3.140","20.0","28.5","28.0","12.1","7.3","1.6","1.2","0.5","0.0","0.4","",".",".","0.0","0.2",".","0.1"
"Special","","14","2.859","28.6","14.3","14.3","14.3","14.3",".","7.1","7.1",".",".","",".",".",".",".",".","."
"Graduate","","186","3.885","47.8","4.8","1.6",".",".",".","0.5","43.0",".",".","",".","2.2",".",".",".","."
"Prof Yr 3","","2","3.625","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","2","3.625","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","3835","3.160","21.4","27.4","26.6","11.5","7.0","1.5","1.2","2.6","0.0","0.3","",".","0.1","0.0","0.2",".","0.1"
