"ANIMAL HEALTH & BIOMEDICAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"350
Parasitology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"351
Parasitology Laboratory","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","39","3.328","23.1","43.6","7.7","7.7","12.8",".",".","2.6",".",".",".",".",".",".",".","2.6"
"606
Colloquium in Env Tox","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"626
Toxicology II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"750
Vertebrate Viral Disease","001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Veterinary Sci Tchg","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Thesis Research Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"930","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"930","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"930","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","10","3.889","70.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0"
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 383 of 386",""
