"FOREST AND WILDLIFE ECOLO","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Forestry","100","001","","86","2.776","3.5","27.9","27.9","18.6","15.1","2.3","3.5","1.2",".",".",".",".",".",".",".","."
"Independent Study","299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","","11","3.364","36.4","27.3","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Forest Operations","305","001","","9","3.056",".","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Manufacturng Processes","310","001","","8","3.125","50.0","12.5","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"Wood Identification","312","001","","14","3.346","28.6","7.1","57.1",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"Wood as a Building Material","313","001","","14","2.708","7.1","14.3","28.6","21.4",".","14.3",".",".",".",".",".",".",".","14.3",".","."
"Rsrce-Oriented Recreatn Mgt","330","001","","14","3.786","78.6","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","001","","6","2.833","16.7","33.3","16.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"","402","002","","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Dendrology","","Course Total","","14","3.250","35.7","28.6","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Silviculture","410","001","","21","3.019","28.6","14.3","28.6","4.8","19.0",".","4.8",".",".",".",".",".",".",".",".","."
"Agroforestry","430","001","","14","2.786","7.1","28.6","21.4","28.6","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"General Ecology","460","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Resources Policy","515","001","","14","2.786","7.1","14.3","28.6","42.9",".","7.1",".",".",".",".",".",".",".",".",".","."
"Topics&Iss: Rec Rsource Mgt","530","001","","19","3.632","63.2","21.1","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Regional Hydrology","560","001","","7","3.800","57.1",".","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572","001","","15","3.500","26.7","46.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lignin Chemistry","613","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr","652","001","","17","3.136","29.4","17.6","11.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".","."
"Natl Forest Mgmt Practicum","657","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Practicum in Forestry Tchg","799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","875","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Landscape Ecology","879","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Forestry&Forest Prod","901","002","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
