"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Special Topics","501
001","","13","3.731","46.2","53.8",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Research Methods","793
001","","6","3.833","83.3",".","16.7",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"INTER-HE
498","Dept. Total","","19","3.763","57.9","36.8","5.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","3","3.833","66.7","33.3",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","10","3.700","40.0","60.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","13","3.731","46.2","53.8",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","5","3.800","80.0",".","20.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","19","3.763","57.9","36.8","5.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
