"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"614
Communicatn&Public Opinion","001","","59","3.026","6.8","18.6","49.2","20.3","3.4",".",".","1.7",".",".",".",".",".",".",".","."
"616
Mass Media and Youth","001","","10","3.650","60.0","30.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"617
Hlth Communication-Info Age","001","","8","2.813","12.5",".","50.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"621
Mass Com-Developing Nations","001","","27","3.167","22.2","22.2","44.4","3.7","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"682","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","042","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"697","093","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"697","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","025","","39","3.984","89.7","7.7",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","50","3.962","82.0","10.0","4.0",".",".",".",".","2.0",".",".",".",".",".",".",".","2.0"
"800
Adv Mass Media Practice","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"805
Smr-Communicatn Rsch Method","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"806
Concep&Design-Mass Com Rsch","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"829
Political Communication","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"839
Crit & Cultr Stud-Mass Comm","001","","9","3.688","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"870
Mass Com&Societl Institutns","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919
Smr-Rsch Hist of Mass Com","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"930
Smr-Intl/Develpmnt Comm","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"980
Smr-Topics in Mass Communicatn","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
