"L&S","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","2844","3.251","33.5","20.4","19.4","8.5","7.1","2.0","1.0","6.1","0.0","0.2","",".","0.9","0.3","0.2","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","191","2.950","22.0","17.3","27.2","15.7","12.0","3.1","2.6",".",".",".","",".",".",".",".",".","."
"Sophomore","","703","3.201","26.5","25.9","26.5","10.7","7.4","1.4","0.9","0.1",".",".","",".",".","0.3","0.3",".","0.1"
"Junior","","748","3.216","35.8","19.9","21.0","10.2","8.2","2.8","1.2","0.5",".","0.1","",".",".",".","0.1","0.1","."
"Senior","","800","3.283","37.4","21.1","17.9","6.8","8.3","2.5","1.1","2.9",".","0.5","",".",".","0.5","0.5","0.4","0.3"
"Undergraduates","","2442","3.208","32.6","21.8","22.0","9.6","8.3","2.3","1.2","1.1",".","0.2","",".",".","0.2","0.3","0.2","0.1"
"Special","","28","3.707","60.7","10.7","10.7","3.6",".",".",".","7.1",".",".","",".",".","3.6",".","3.6","."
"Graduate","","374","3.784","38.0","11.8","2.9","1.6",".",".",".","38.2","0.3",".","",".","7.0","0.3",".",".","."
"","Dept. Total","2844","3.251","33.5","20.4","19.4","8.5","7.1","2.0","1.0","6.1","0.0","0.2","",".","0.9","0.3","0.2","0.2","0.1"
