"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL BUSINESS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","",""
"","200","001","259","2.971","18.9","18.9","24.3","18.9","15.4","1.9","0.8",".",".",".",".",".",".",".",".","0.8"
"","200","002","221","3.130","27.6","20.8","18.1","20.4","11.3","0.5","0.9","0.5",".",".",".",".",".",".",".","."
"International Business","","Course Total","480","3.044","22.9","19.8","21.5","19.6","13.5","1.3","0.8","0.2",".",".",".",".",".",".",".","0.4"
"Business German","331","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","365","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","090","9","3.700","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","399","091","6","3.286","33.3",".","33.3","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"Reading & Research-Intl Bus","","Course Total","15","3.529","46.7","20.0","13.3","13.3",".",".",".","6.7",".",".",".",".",".",".",".","."
"Global Marketing","420","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Multinational Bus Finance","445","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462","001","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business in Emerging Markets","615","001","29","3.750","48.3","48.3",".",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Global Marketing","720","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intl Operations: Probs&Adm","755","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Internal Bus","799","091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"INTL BUS
235","","Dept. Total","555","3.125","26.3","22.2","19.6","17.3","11.7","1.1","0.7","0.7",".",".",".",".",".",".",".","0.4"
