"","ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"","377","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","","Course Total","","75","2.637","14.7","16.0","13.3","17.3","25.3","8.0","2.7","1.3",".",".",".",".","1.3",".",".","."
"","399","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","22","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","6","3.727","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Power Electronic Circuits","412","001","","29","3.571","62.1",".","27.6",".","6.9",".",".",".",".",".",".",".",".",".","3.4","."
"State Space System Analysis","416","001","","20","2.975","15.0","35.0","10.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420","001","","29","3.103","37.9","10.3","17.2","17.2","13.8",".","3.4",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435","001","","14","2.786","14.3",".","35.7","28.6","21.4",".",".",".",".",".",".",".",".",".",".","."
"Digital Communication Sys","437","001","","29","3.375","44.8","6.9","37.9","3.4",".",".","3.4","3.4",".",".",".",".",".",".",".","."
"Introduction to Robotics","439","001","","17","3.294","17.6","41.2","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Communications Sys","447","001","","25","2.833","16.0","20.0","24.0","12.0","12.0","12.0",".",".","4.0",".",".",".",".",".",".","."
"Digital Microprocessors","453","001","","14","3.536","57.1","14.3","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Computer Proj in Cntrl&Inst","468","001","","27","3.815","85.2",".","7.4","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","491","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec Mach&Drive Systm Lab","504","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Synchronous Machines","511","001","","9","3.200","11.1","11.1","22.2","11.1",".",".",".","44.4",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Processng & Technlgy","528","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Communication Networks","537","001","","38","3.189","26.3","26.3","23.7","10.5","7.9",".","2.6","2.6",".",".",".",".",".",".",".","."
"","539","001","","16","3.433","50.0","25.0","6.3","6.3",".",".","6.3",".",".",".",".",".","6.3",".",".","."
"","539","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","","Course Total","","17","3.469","52.9","23.5","5.9","5.9",".",".","5.9",".",".",".",".",".","5.9",".",".","."
"Lasers","546","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"IC Fabrication Lab","549","001","","8","3.188","25.0","25.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","552","001","","20","3.300","25.0","35.0","25.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","552","002","","36","3.361","38.9","19.4","22.2","13.9","5.6",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","","Course Total","","56","3.339","33.9","25.0","23.2","10.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","","15","3.567","53.3","6.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Circuits&Components","555","001","","84","2.890","16.7","16.7","29.8","14.3","11.9","8.3",".",".",".",".",".",".",".","2.4",".","."
"Dsgn Automation Digital Sys","556","001","","13","3.615","61.5","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Automatic Controls Lab","577","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Elec&Computer Engr","601","001","","38","3.189","31.6","15.8","23.7","10.5","15.8",".",".","2.6",".",".",".",".",".",".",".","."
"","602","001","","12","3.824","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","002","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Spec Topics-Elec&Comptr Eng","","Course Total","","20","3.824","45.0","10.0","5.0",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 118 of 386",""
