"GEOLOGY & GEOPHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","",""
"","100
001","107","2.792","15.0","15.9","25.2","19.6","15.0","6.5","1.9",".",".",".",".",".",".","0.9",".","."
"","100
002","130","2.969","24.6","5.4","43.8","6.9","13.1","4.6","1.5",".",".",".",".",".",".",".",".","."
"General Geology","Course Total","237","2.890","20.3","10.1","35.4","12.7","13.9","5.5","1.7",".",".",".",".",".",".","0.4",".","."
"General Geology","101
001","66","2.689","16.7","6.1","27.3","13.6","28.8","7.6",".",".",".",".",".",".",".",".",".","."
"","102
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Geology Lab","Course Total","13","2.792","23.1",".","30.8","7.7","23.1","7.7",".",".",".",".",".",".",".","7.7",".","."
"Survey of Oceanography","105
001","16","3.148","43.8","12.5","6.3","18.8","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"Environmental Geology","106
001","82","2.827","19.5","12.2","25.6","7.3","30.5","2.4","1.2","1.2",".",".",".",".",".",".",".","."
"Life of the Past","107
001","36","2.972","38.9","11.1","8.3","16.7","13.9","8.3","2.8",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110
001","144","2.570","16.7","6.3","18.8","12.5","35.4","8.3","1.4",".",".",".",".",".","0.7",".",".","."
"","115
001","81","2.784","17.3","12.3","21.0","13.6","21.0","2.5","2.5","8.6",".",".",".",".",".","1.2",".","."
"","115
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sci Behind News-Wrld Around","Course Total","84","2.791","16.7","13.1","20.2","13.1","20.2","2.4","2.4","9.5",".",".",".",".",".","1.2",".","1.2"
"Geologic Evolution of Earth","001
201","33","2.742","18.2","15.2","18.2","18.2","24.2",".","6.1",".",".",".",".",".",".",".",".","."
"","306
001","269","3.094","10.8","25.3","34.2","15.6","3.7","0.7","0.7","8.6",".",".",".",".","0.4",".",".","."
"","002
306","38","3.398","34.2","34.2","18.4","10.5",".","2.6",".",".",".",".",".",".",".",".",".","."
"","306
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gems and Precious Stones","Course Total","309","3.142","14.2","26.2","32.0","14.9","3.2","1.0","0.6","7.4",".",".",".",".","0.3",".",".","."
"Elementary Petrology","001
370","26","3.100","26.9","3.8","42.3","7.7","15.4",".",".","3.8",".",".",".",".",".",".",".","."
"","001
376","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Geology","Course Total","24","3.871","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420
001","10","3.200","30.0","20.0","30.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Principles of Stratigraphy","430
001","25","3.180","24.0","12.0","60.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Conducted Field Trip","457
001","20","3.300","40.0","10.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Rock Mech Appl-Envr Probs","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolution of Vertebrates","544
001","33","3.652","69.7","9.1","18.2",".",".",".","3.0",".",".",".",".",".",".",".",".","."
"Mountain Belts","556
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contaminant Hydrogeology","629
001","7","3.333","28.6","14.3","28.6","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","6","3.857","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
