"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"804
Interdis W Europ Studies Sm","001","","6","3.667","16.7","33.3",".",".",".",".",".","33.3",".",".",".",".",".",".","16.7","."
"821
Issues-Mthds Teachng Fr&Itl","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"825
Grammaire Et Style","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"935
Smr-19th C Novel","001","","21","3.867","52.4","19.0",".",".",".",".",".","23.8",".",".",".",".","4.8",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","18","",".",".",".",".",".",".",".","94.4",".",".",".","5.6",".",".",".","."
