"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"LANGUAGES AND CULTURES O Section","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"910
LANGASIA","","","","","","","","","","","","","","","","","","","","","","",""
"LANGASIA
Dept. Total
910","273","3.708","54.9","17.9","9.5","3.3","",".","0.4","",".","12.1","",".",".","",".","1.5","",".","0.4",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"910
LANGASIA","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","11","3.532","54.5",".","45.5",".","",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","28","3.410","28.6","42.9","14.3","14.3","",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","37","3.559","48.6","32.4","10.8","5.4","",".","2.7","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","49","3.686","57.1","26.5","10.2","4.1","",".",".","",".",".","",".",".","",".",".","",".","2.0",".","."
"Undergraduates","125","3.567","48.0","29.6","14.4","6.4","",".","0.8","",".",".","",".",".","",".",".","",".","0.8",".","."
"Special","30","3.807","56.7","20.0","13.3",".","",".",".","",".","10.0","",".",".","",".",".","",".",".",".","."
"Graduate","117","3.916","62.4","5.1","3.4",".","",".",".","",".","25.6","",".",".","",".","3.4","",".",".",".","."
"Prof Yr 3","1","2.500",".",".",".","100.0","",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","1","2.500",".",".",".","100.0","",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Dept. Total","273","3.708","54.9","17.9","9.5","3.3","",".","0.4","",".","12.1","",".",".","",".","1.5","",".","0.4",".","."
