"AMERICAN INDIAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","","44","3.988","95.5","2.3",".",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Archaeology of Wisconsin","354
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","450
001","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
002","","11","3.600","54.5","18.2","9.1",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","450
003","","11","3.318","36.4","45.5","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","450
005","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Amer Ind Studies","Course Total","","55","3.759","72.7","18.2","3.6",".","1.8",".","1.8","1.8",".",".",".",".",".",".",".","."
"American Indian History","490
001","","27","3.275","18.5","29.6","22.2","18.5",".",".",".","7.4",".",".",".",".","3.7",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
