"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Educ Program","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"216
Irrigation Sys-Design & Use","001","","12","2.833","8.3","25.0","41.7","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"218
Drainage Systems","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"243
Spark Ignitn&Diesel Engines","001","","14","3.115","21.4","21.4","21.4","14.3","14.3",".",".","7.1",".",".",".",".",".",".",".","."
"245
Tractors","001","","6","3.500","33.3","16.7","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"310
Wood Manufacturng Processes","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"313
Wood as a Building Material","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"362
Tractor and Power Equipment","001","","17","3.118","11.8","17.6","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"365
Measrmt&Instrumntn-Biol Sys","001","","16","2.188","6.3","6.3","6.3","18.8","43.8","18.8",".",".",".",".",".",".",".",".",".","."
"375","001","","9","2.778","33.3","33.3",".","11.1",".",".","22.2",".",".",".",".",".",".",".",".","."
"375","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","10","2.900","40.0","30.0",".","10.0",".",".","20.0",".",".",".",".",".",".",".",".","."
"399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"472
Sedmnt & Bio-Nutr Engr&Mgmt","001","","10","2.750","20.0",".","20.0","50.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"502
Biol & Ag Engr Design Lab","001","","14","3.679","64.3","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"542
Food Engineering Operations","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"571
Small Watershed Engineering","001","","9","3.222","22.2","22.2","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"671
Topics-Natural Resrces Engr","001","","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","","",""
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","15","",".",".",".",".",".",".",".","73.3",".",".",".","26.7",".",".",".","."
"999
Special Problems","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
