"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"INFO SYS","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","11","3.545","54.5","27.3",".","9.1","9.1",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","85","3.510","40.0","37.6","15.3","1.2","1.2","3.5","",".","1.2","",".",".","",".","",".","",".",".",".","."
"Undergraduates","97","3.509","41.2","36.1","14.4","2.1","2.1","3.1","",".","1.0","",".",".","",".","",".","",".",".",".","."
"Special","2","4.000","50.0",".",".",".",".",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Graduate","155","3.663","47.7","32.9","16.8","0.6","0.6",".","",".","0.6","",".",".","",".","",".","",".","0.6",".","."
"Prof Yr 3","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
