"L&S","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATIVE DISORDERS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"COM DIS
252","Dept. Total","1186","3.428","45.4","24.8","17.6","5.1","4.5","1.4","0.3","0.7","",".",".","",".","0.1","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","85","2.594","10.6","7.1","31.8","17.6","22.4","8.2","2.4",".","",".",".","",".",".",".",".",".","."
"Sophomore","","145","3.181","23.4","26.2","33.1","4.8","9.7","2.8",".",".","",".",".","",".",".",".",".",".","."
"Junior","","233","3.303","31.3","28.3","25.8","8.2","4.3","1.7","0.4",".","",".",".","",".",".",".",".",".","."
"Senior","","205","3.351","30.2","32.2","25.9","5.4","4.9","1.0",".",".","",".",".","",".",".","0.5",".",".","."
"Undergraduates","","668","3.201","26.6","26.3","28.1","7.8","7.9","2.5","0.4",".","",".",".","",".",".","0.1",".",".","."
"Special","","30","3.512","50.0","20.0","6.7","20.0",".",".",".","3.3","",".",".","",".",".",".",".",".","."
"Graduate","","488","3.827","70.7","23.0","3.9","0.6",".",".",".","1.4","",".",".","",".","0.2","0.2",".",".","."
"","Dept. Total","1186","3.428","45.4","24.8","17.6","5.1","4.5","1.4","0.3","0.7","",".",".","",".","0.1","0.2",".",".","."
