"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","367
001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
003","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
004","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Rdg&Lang:Pre-Middl Sch","Course Total","","72","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","001
368","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
002","","23","3.891","87.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
003","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg:Preschl-Middl Schl","Course Total","","72","3.944","91.7","5.6","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
001","","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
002","","23","3.783","87.0","8.7",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","369
003","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Lang Art:Pre-Middl Sch","Course Total","","72","3.910","91.7","6.9",".",".",".",".","1.4",".",".",".",".",".",".",".",".","."
"","370
001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
370","","29","3.845","75.9","17.2","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Math:Preschl-Mid Schl","Course Total","","96","3.927","88.5","8.3","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
371","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Soc St:Pre-Middle Schl","Course Total","","77","3.974","94.8","5.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","25","3.580","52.0","24.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","29","3.776","62.1","31.0","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
372","","23","3.913","91.3",".","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Sci:Preschl-Middl Schl","Course Total","","77","3.753","67.5","19.5","10.4","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"","373
001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
003","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
004","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Math,Sci,SocSt:Pre-Mid","Course Total","","77","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pract: Rdg & Math-Elem Schl","374
001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","375
001","","7","3.000","42.9",".","14.3",".","42.9",".",".",".",".",".",".",".",".",".",".","."
"","002
375","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","Course Total","","53","3.828","86.8","5.7","1.9",".","5.7",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science-Sec Schl","001
390","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondary Schl Math I","393
001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technol-Secondary Schl Math","395
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of English","396
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 86 of 386"
