"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"","198
004","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","198
010","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","198
014","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","198
024","10","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"","198
030","9","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"","198
039","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","042
198","19","",".",".",".",".",".",".",".",".",".","94.7","5.3",".",".",".",".","."
"","198
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
053","19","",".",".",".",".",".",".",".",".",".","94.7",".",".",".",".",".","5.3"
"","198
28","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","89","",".",".",".",".",".",".",".",".",".","95.5","3.4",".",".",".",".","1.1"
"Directed Study","199
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Critical Thinkng & Expressn","200
001","117","3.214","17.9","31.6","40.2","6.0","1.7",".","2.6",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Philos I","201
001","15","3.667","80.0","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Phil II","202
001","122","3.079","13.9","32.8","26.2","12.3","9.8","3.3",".","0.8",".",".",".",".",".",".",".","0.8"
"West Culture:Lit&The Arts I","203
001","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"West Cult: Lit&The Arts II","204
001","162","3.171","17.3","37.0","26.5","10.5","3.7","3.1","1.2","0.6",".",".",".",".",".",".",".","."
"W Cult:Pol,Econ&Soc Thght I","205
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"W Cul:Pol,Econ&Soc Thght II","206
001","266","3.158","18.8","25.6","35.0","12.4","4.9","0.8","1.1","1.5",".",".",".",".",".",".",".","."
"Hist of Western Culture II","208
001","37","2.986","18.9","24.3","27.0","10.8","10.8","8.1",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Heroes, Rogues & Scoundrels","237
001","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Phy Sciences","251
001","39","2.628","20.5","5.1","17.9","28.2","12.8","12.8","2.6",".",".",".",".",".",".",".",".","."
"Senior Seminar","400
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Culture Capstone Smr","401
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ILS
500","Dept. Total","896","3.167","19.4","25.4","26.6","9.7","4.8","2.1","1.1","0.8",".","9.5","0.3",".",".",".",".","0.2"
