"","990
012","2","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
016","4","***","","","","","","","","","",".",".",".","",".",".",".","."
"Thesis","Course Total","8","",".",".",".",".",".",".",".","75.0",".",".",".","",".",".",".","25.0","."
"Indep Reading & Research","999
017","2","***","","","","","","","","","",".",".",".","",".",".",".","."
"AFRICAN
104","Dept. Total","618","3.017","26.9","14.7","18.8","13.1","11.0","5.2","2.6","7.0","0.3",".",".","",".","0.2",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","39","3.012","33.3","15.4","15.4","12.8","12.8","5.1","5.1",".",".",".",".","",".",".",".",".","."
"Sophomore","","103","3.117","24.3","21.4","27.2","8.7","13.6","1.9","1.0","1.9",".",".",".","",".",".",".",".","."
"Junior","","245","2.878","24.9","12.7","19.6","16.3","10.6","7.3","4.1","4.1","0.4",".",".","",".",".",".",".","."
"Senior","","181","2.939","20.4","14.9","16.0","14.9","12.7","5.5","1.7","12.7","0.6",".",".","",".","0.6",".",".","."
"Undergraduates","","568","2.951","23.9","15.1","19.5","14.3","12.0","5.6","2.8","6.2","0.4",".",".","",".","0.2",".",".","."
"Special","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Graduate","","47","3.787","57.4","10.6","10.6",".",".",".",".","17.0",".",".",".","",".",".",".","4.3","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"","Dept. Total","618","3.017","26.9","14.7","18.8","13.1","11.0","5.2","2.6","7.0","0.3",".",".","",".","0.2",".","0.3","."
