"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"698
Directed Study","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.333","30.0","50.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"761
Chinese Historical Texts","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"762
Chinese Philosophical Texts","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775
Stdys-Japanese Linguistics","001","","6","3.500","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"799
Reading for Research","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932
Smr-Chinese Linguistics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"951","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"951","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Chinese Literature","Course Total","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","14","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
