"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","",""
"Med Term-Greek&Latin Origin","205
001","98","3.701","58.2","23.5","6.1","4.1","2.0",".",".","6.1",".","",".",".","",".","",".","",".",".","."
"Civilizat of Ancient Rome","322
001","60","3.209","20.0","35.0","26.7","3.3","1.7",".","5.0","1.7",".","",".",".","",".","",".","","1.7",".","5.0"
"Classical Mythology","370
001","374","3.297","39.0","20.9","20.9","5.1","7.5","2.4","1.9","1.3",".","",".",".","",".","",".","","0.8",".","0.3"
"Topics in Classical Culture","373
001","14","3.269","21.4","14.3","50.0","7.1",".",".",".","7.1",".","",".",".","",".","",".","",".",".","."
"Roman Archaeology","436
001","51","3.010","13.7","25.5","29.4","15.7","11.8",".","2.0","2.0",".","",".",".","",".","",".","",".",".","."
"Classcl Backgrd-English Lit","554
001","23","3.591","47.8","17.4","30.4",".",".",".",".","4.3",".","",".",".","",".","",".","",".",".","."
"Undergrad Smr:Classicl Wrld","591
001","21","3.619","66.7","23.8",".","4.8",".",".","4.8",".",".","",".",".","",".","",".","",".",".","."
"Seminar-Ancient History","801
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CLASSICS
244","Dept. Total","643","3.349","39.2","22.7","20.1","5.4","5.8","1.4","1.9","2.3","",".",".","",".","",".","",".","0.6",".","0.6"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","106","3.276","31.1","28.3","25.5","5.7","4.7","0.9","2.8",".","",".",".","",".","",".","",".",".",".","0.9"
"Sophomore","","206","3.421","41.7","22.8","20.9","6.3","4.9","0.5","1.0","1.0","",".",".","",".","",".","",".","0.5",".","0.5"
"Junior","","170","3.329","40.6","23.5","18.8","4.7","7.1",".","3.5","1.2","",".",".","",".","",".","",".","0.6",".","."
"Senior","","152","3.304","38.8","19.1","17.1","5.3","6.6","4.6","0.7","5.9","",".",".","",".","",".","",".","0.7",".","1.3"
"Undergraduates","","634","3.344","39.0","23.0","20.2","5.5","5.8","1.4","1.9","2.1","",".",".","",".","",".","",".","0.5",".","0.6"
"Special","","4","3.000",".",".","25.0",".",".",".",".","50.0","",".",".","",".","",".","",".","25.0",".","."
"Graduate","","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","643","3.349","39.2","22.7","20.1","5.4","5.8","1.4","1.9","2.3","",".",".","",".","",".","",".","0.6",".","0.6"
