"VET","","","","","","","","","","","","","","","","","","","","","","","",""
"SURGICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"SURG SCI
938","Dept. Total","1066","3.371","31.9","12.7","17.5","4.1","2.4","0.1","",".","31.2","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","29","3.600","24.1",".","3.4","3.4",".",".","",".","69.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","158","3.514","32.9","25.3","31.0","2.5","0.6",".","",".","7.6","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","611","3.168","22.9","15.5","22.4","6.4","4.1","0.2","",".","28.5","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","268","4.000","52.6",".",".",".",".",".","",".","47.4","",".",".","",".","",".","",".",".",".","."
"Professionals","","1066","3.371","31.9","12.7","17.5","4.1","2.4","0.1","",".","31.2","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","1066","3.371","31.9","12.7","17.5","4.1","2.4","0.1","",".","31.2","",".",".","",".","",".","",".",".",".","."
