"ENGR PROFESSIONAL DEVELO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","",""
"690","006","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","009","","15","3.067","13.3","6.7","66.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"690","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","012","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"690","013","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".","16.7","."
"690","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"690","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","016","","8","3.750","37.5",".","12.5",".",".",".",".","12.5",".",".",".",".","37.5",".",".","."
"Special Topics in E P D","Course Total","","142","3.782","59.9","13.4","12.0","1.4","1.4","1.4",".","6.3",".",".",".",".","2.8",".","1.4","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.643","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
