"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1584","3.015","23.9","20.3","22.4","12.1","11.0","3.5","1.7","3.3","0.1","0.5","",".","0.6","0.1","0.3","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","248","2.702","9.3","19.0","25.8","17.7","20.2","5.6","1.6",".",".",".","",".",".",".","0.4","0.4","."
"Sophomore","","365","2.933","18.1","20.3","28.5","14.2","13.7","3.3","1.6",".",".",".","",".",".",".",".","0.3","."
"Junior","","352","2.936","18.5","23.0","24.4","14.8","11.4","4.0","2.6","0.9",".",".","",".",".",".","0.3",".","0.3"
"Senior","","384","3.128","30.5","21.4","19.5","10.7","8.6","3.6","1.8","2.3",".","1.0","",".",".",".","0.5",".","."
"Undergraduates","","1349","2.937","20.1","21.1","24.4","14.0","12.8","4.0","1.9","0.9",".","0.3","",".",".",".","0.3","0.1","0.1"
"Special","","17","3.289","35.3","17.6","17.6","5.9",".","5.9",".","5.9",".",".","",".",".",".","5.9","5.9","."
"Graduate","","218","3.679","46.3","15.6","10.6","0.9","0.5",".","0.5","17.9","0.9","1.8","",".","4.1","0.5",".","0.5","."
"","Dept. Total","1584","3.015","23.9","20.3","22.4","12.1","11.0","3.5","1.7","3.3","0.1","0.5","",".","0.6","0.1","0.3","0.3","0.1"
