"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","",""
"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Taxatn:Bus & Persnl Planng","329
001","8","2.857",".","12.5","50.0","12.5","12.5",".",".",".",".",".",".",".",".","12.5",".","."
"","713
001","52","3.529","44.2","19.2","34.6","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","713
002","26","3.846","73.1","23.1","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Process","Course Total","78","3.635","53.8","20.5","24.4","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contracts II","721
001","60","3.500","45.0","11.7","41.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","21","3.405","23.8","33.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","19","3.395","21.1","42.1","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","22","3.364","22.7","40.9","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","004
723","19","3.316","26.3","36.8","21.1","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","005
723","19","3.316","21.1","42.1","31.6",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","723
006","20","3.325","15.0","45.0","35.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","723
007","20","3.375","20.0","35.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
008","20","3.425","20.0","45.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
009","21","3.333","19.0","28.6","52.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
010","20","3.375","20.0","35.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
011","20","3.425","35.0","25.0","35.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","723
012","21","3.381","23.8","33.3","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","723
013","20","3.325","20.0","40.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","723
014","19","3.368","15.8","42.1","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
015","20","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","301","3.369","21.6","37.5","36.9","1.7","2.0","0.3",".",".",".",".",".",".",".",".",".","."
"","724
001","77","3.513","41.6","19.5","39.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
724","86","3.494","45.3","17.4","30.2","4.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"","724
003","84","3.524","46.4","16.7","32.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","724
004","60","3.475","41.7","21.7","30.0","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Property","Course Total","307","3.503","44.0","18.6","32.9","3.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"","725
001","57","3.395","35.1","22.8","33.3","3.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","002
725","72","3.424","38.9","16.7","36.1","6.9","1.4",".",".",".",".",".",".",".",".",".",".","."
"","725
003","73","3.349","26.0","20.5","50.7","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","004
725","66","3.576","40.9","34.8","22.7","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","725
005","47","3.415","42.6","10.6","36.2","8.5",".","2.1",".",".",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","Course Total","315","3.432","36.2","21.6","36.2","4.4","1.3","0.3",".",".",".",".",".",".",".",".",".","."
"Federal Law & Indian Tribes","730
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","731
001","78","3.526","44.9","19.2","33.3","1.3",".","1.3",".",".",".",".",".",".",".",".",".","."
"","731
002","58","3.560","41.4","29.3","29.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","731
003","34","3.414","29.4","17.6","32.4","5.9",".",".",".","11.8",".",".",".",".",".","2.9",".","."
"Constitutional Law I","Course Total","170","3.518","40.6","22.4","31.8","1.8",".","0.6",".","2.4",".",".",".",".",".","0.6",".","."
"Trusts and Estates","733
001","117","3.250","29.1","12.0","20.5","2.6","4.3","3.4","1.7","26.5",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","31","3.463","32.3","29.0","16.1","6.5","3.2",".",".","12.9",".",".",".",".",".",".",".","."
"Constitutional Law II","001
740","93","3.540","41.9","10.8","23.7","3.2",".","1.1",".","19.4",".",".",".",".",".",".",".","."
"Bus Orgnztions II:Publ Corp","741
001","57","3.628","43.9","12.3","15.8","1.8","1.8",".",".","24.6",".",".",".",".",".",".",".","."
"Taxation I","742
001","85","3.664","43.5","12.9","18.8",".",".",".",".","24.7",".",".",".",".",".",".",".","."
"Negotiations","743
001","23","3.344","21.7","34.8","34.8","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Law","744
001","77","3.618","33.8","18.2","10.4","3.9",".",".",".","32.5",".",".",".",".",".",".","1.3","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 316 of 386",""
