"L&S","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","5645","2.702","24.5","11.5","19.6","10.1","17.7","8.7","5.5","0.6","0.0","1.1","0.0","",".","0.1","0.2","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1890","2.583","18.5","10.6","19.5","11.6","21.1","10.3","6.0","0.1",".","1.7",".","",".","0.1","0.2",".","0.2"
"Sophomore","","1832","2.706","23.1","12.3","20.9","9.6","18.7","8.2","5.5",".",".","1.4","0.1","",".","0.1","0.2","0.1","0.2"
"Junior","","974","2.688","24.1","12.6","19.9","10.4","16.8","8.9","5.9","0.2",".","0.5",".","",".",".","0.3","0.1","0.2"
"Senior","","588","2.680","25.7","10.0","21.3","11.2","14.5","9.7","6.1","0.5","0.2",".",".","",".",".","0.2","0.5","0.2"
"Undergraduates","","5284","2.653","21.9","11.5","20.3","10.6","18.7","9.2","5.8","0.1","0.0","1.2","0.0","",".","0.1","0.2","0.1","0.2"
"Special","","56","3.103","41.1","12.5","14.3","8.9","8.9","5.4","1.8","5.4",".",".",".","",".","1.8",".",".","."
"Graduate","","305","3.753","65.2","11.1","9.5","1.0","1.6",".","0.3","8.9",".",".",".","",".","0.7","0.7","1.0","."
"","Dept. Total","5645","2.702","24.5","11.5","19.6","10.1","17.7","8.7","5.5","0.6","0.0","1.1","0.0","",".","0.1","0.2","0.1","0.2"
