"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Introduction-Dramatic Arts","120
001","342","3.302","29.8","31.3","22.8","7.0","4.7","2.6","0.9","0.6",".",".",".",".",".","0.3",".","."
"","140
001","17","3.706","76.5","11.8","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","140
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Voice Training","Course Total","33","3.848","87.9","6.1","3.0",".",".","3.0",".",".",".",".",".",".",".",".",".","."
"","150
001","18","3.917","94.4",".",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","17","3.059","47.1","5.9","17.6","5.9","5.9","17.6",".",".",".",".",".",".",".",".",".","."
"","150
003","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","15","3.633","60.0","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","150
005","17","3.618","70.6","5.9","17.6",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","150
006","15","3.769","46.7","40.0",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","150
007","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","120","3.716","74.2","10.8","6.7","1.7","1.7","3.3",".","1.7",".",".",".",".",".",".",".","."
"","161
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"","161
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","28","3.963","89.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","3.6"
"Fundamentals of Stagecraft","001
170","19","2.958","15.8","15.8","26.3","15.8","10.5","5.3",".",".",".",".",".",".",".",".","5.3","5.3"
"Writing-Theatre&Performance","200
001","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrld Theatre&Drama from 18c","222
001","45","3.267","24.4","20.0","42.2","11.1","2.2",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","250
001","18","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"History: Stage Costume","327
001","32","3.345","37.5","21.9","6.3","15.6","9.4",".",".","3.1",".",".",".",".",".","6.3",".","."
"Trans:20C Scand Drama&Film","333
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Drama-A Strindberg","336
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Acting Realism","350
001","16","3.906","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","23","3.750","69.6","21.7",".","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","10","3.611","50.0","20.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","362
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
362","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","36","3.857","77.8","13.9","2.8","2.8",".",".",".","2.8",".",".",".",".",".",".",".","."
"Prin&Practice-Stage Costume","363
001","14","3.925","78.6","14.3",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","7","3.391","28.6","14.3","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sound for Theatre","371
001","11","3.903","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","14","3.616","35.7","57.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Rendering for the Stage","374
001","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 304 of 386",""
