"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","30","3.476","36.7","30.0","20.0","3.3",".",".","3.3",".",".",".",".",".",".",".","6.7","."
"Environmental Geology","106","001","21","2.316","14.3","4.8","14.3","4.8","28.6","23.8",".","9.5",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112","001","212","3.057","16.5","29.7","25.5","14.6","7.5","3.3","1.4","0.9",".",".",".",".",".","0.5",".","."
"","120","001","31","3.397","35.5","22.6","29.0",".","3.2","3.2",".","6.5",".",".",".",".",".",".",".","."
"","120","002","15","2.929","6.7","26.7","46.7",".",".","13.3",".",".",".",".",".",".",".",".","6.7","."
"Global Phys Environments","","Course Total","46","3.244","26.1","23.9","34.8",".","2.2","6.5",".","4.3",".",".",".",".",".",".","2.2","."
"Atmspherc Envirnmnt&Society","121","001","31","2.950","16.1","19.4","16.1","35.5","6.5","3.2",".","3.2",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","42","3.655","61.9","21.4","9.5","4.8",".","2.4",".",".",".",".",".",".",".",".",".","."
"","127","001","8","2.250","12.5","25.0","12.5",".","25.0",".","25.0",".",".",".",".",".",".",".",".","."
"","127","002","17","3.029","17.6","23.5","23.5","17.6","17.6",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","25","2.780","16.0","24.0","20.0","12.0","20.0",".","8.0",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","31","3.113","22.6","19.4","38.7","9.7","3.2","6.5",".",".",".",".",".",".",".",".",".","."
"","201","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","002","7","3.286","42.9","14.3","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","","Course Total","12","3.125","41.7","8.3","16.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307","001","28","3.571","32.1","57.1","3.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"People, Chemicals, Envrnmnt","308","001","20","3.475","40.0","30.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Our Hazardous Environment","336","001","20","2.737","10.0","20.0","5.0","40.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"","339","001","31","2.633","6.5","12.9","29.0","12.9","29.0","6.5",".",".",".",".",".",".",".",".",".","3.2"
"","339","002","32","2.531","12.5","6.3","18.8","12.5","43.8","6.3",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","63","2.581","9.5","9.5","23.8","12.7","36.5","6.3",".",".",".",".",".",".",".",".",".","1.6"
"Environment&Global Economy","344","001","9","2.833","33.3","11.1",".",".","55.6",".",".",".",".",".",".",".",".",".",".","."
"History of Ecology","353","001","11","3.900","72.7","18.2",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","32","3.250","34.4","15.6","25.0","15.6","9.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","11","2.900","27.3","18.2","18.2",".","9.1","18.2",".","9.1",".",".",".",".",".",".",".","."
"","400","001","12","3.532","16.7","41.7","25.0",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","400","002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","004","19","3.186","42.1","10.5","15.8","15.8","15.8",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","","Course Total","62","3.567","64.5","11.3","11.3","4.8","4.8",".",".","3.2",".",".",".",".",".",".",".","."
"Remote Sensng Instrumentatn","406","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Ethics","441","001","37","3.257","32.4","29.7","8.1","13.5","5.4","5.4",".","2.7",".",".",".",".",".","2.7",".","."
"Amer Environmental History","460","001","51","3.489","27.5","39.2","21.6","3.9",".",".",".","5.9",".",".",".",".",".",".","2.0","."
"Envr Study/UNESCO-Biosphere","463","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472","001","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecology of Fishes Lab","511","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Resources Policy","515","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Environment","537","001","7","2.917","14.3","28.6",".","14.3","28.6",".",".","14.3",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 150 of 386",""
