"Sociodem Anal-Mexican Migratn","470
001","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
001","","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
002","","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"CHICLA
228","Dept. Total","","71","3.712","56.3","26.8","5.6","1.4","",".","",".","1.4","2.8","",".",".","",".","",".","4.2","1.4",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","6","3.750","50.0","50.0",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","22","3.540","50.0","22.7","13.6",".","",".","",".","4.5",".","",".",".","",".","",".","9.1",".",".","."
"Senior","","","40","3.780","57.5","27.5","2.5","2.5","",".","",".",".","5.0","",".",".","",".","",".","2.5","2.5",".","."
"Undergraduates","","","69","3.703","55.1","27.5","5.8","1.4","",".","",".","1.4","2.9","",".",".","",".","",".","4.3","1.4",".","."
"Graduate","","","2","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","71","3.712","56.3","26.8","5.6","1.4","",".","",".","1.4","2.8","",".",".","",".","",".","4.2","1.4",".","."
