"","990
061","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
066","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","6","",".",".",".",".",".","",".",".","100.0",".",".",".","",".","",".",".",".","."
"Seminar in Genetics","993
001","10","3.950","90.0","10.0",".",".",".","",".",".",".",".",".",".",".","",".","",".",".","."
"MD GENET
616","Dept. Total","468","3.829","77.1","6.8","12.8","0.4","0.9","",".","0.2","1.5",".",".",".","",".","",".","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.912","82.4","17.6",".",".",".","",".",".",".",".",".",".","",".","",".",".",".","."
"Sophomore","","79","3.972","93.7","3.8","1.3",".",".","",".",".",".",".",".",".","",".","",".","1.3",".","."
"Junior","","43","3.879","88.4","7.0","2.3",".",".","",".","2.3",".",".",".",".","",".","",".",".",".","."
"Senior","","136","3.901","85.3","8.1","4.4","1.5",".","",".",".","0.7",".",".",".","",".","",".",".",".","."
"Undergraduates","","275","3.919","88.0","7.3","2.9","0.7",".","",".","0.4","0.4",".",".",".","",".","",".","0.4",".","."
"Special","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".","",".","",".",".",".","."
"Graduate","","53","3.809","62.3","22.6","3.8",".",".","",".",".","11.3",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","137","3.584","61.3",".","35.8",".","2.9","",".",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".","",".",".",".",".",".",".","",".","",".",".",".","."
"Professionals","","138","3.580","60.9",".","36.2",".","2.9","",".",".",".",".",".",".","",".","",".",".",".","."
"","Dept. Total","468","3.829","77.1","6.8","12.8","0.4","0.9","",".","0.2","1.5",".",".",".","",".","",".","0.2",".","."
