"Clin Nuclr Med Clerk-CSC/VA","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"","924
003","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","924
004","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Gen Radiol Clerk-St Lukes","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"RADIOL
832","Dept. Total","","50","3.950","92.0","8.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Special","","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","2","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","13","3.980","92.3","7.7","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","34","3.936","91.2","8.8","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","49","3.949","91.8","8.2","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","50","3.950","92.0","8.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
