"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","77","3.948","89.6","10.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","99","3.737","77.8","13.1","4.0","1.0",".","2.0","2.0",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","","176","3.830","83.0","11.9","2.3","0.6",".","1.1","1.1",".",".",".",".",".",".",".",".","."
"330
Behav Anal:Person-Disabilty","001","","34","3.868","76.5","20.6","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"421
Curr&Meth:Behav/Emo Dis,K-9","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"422
Curr&Mth:Behav/Emo Dis,6-12","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"424
Diag&Assess:Std-Bhv/EmtnDis","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"425","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"425","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Behavrl/Emotnl Disabl","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"444
Diag&Assess:Stdts-Intel Dis","004","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"445","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"445","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"445","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prac-Intellect Disabilities","Course Total","","11","3.947","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"470
Indiv/Learn & Behav Disability","001","","37","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
Strategy-Inclusive Schoolng","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Rehab Psych-Medical Aspects","001","","27","3.574","40.7","44.4","7.4","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"630","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"630","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","018","","39","3.959","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","53","3.963","90.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","14","",".",".",".",".",".",".",".","92.9",".",".",".",".","7.1",".",".","."
"699","004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Career Couns & Job Placemnt","001","","24","3.938","95.8",".",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"754
Assess-Learning Disabil","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"756
Meth & Curric-Lrn Dis (Sec)","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"763
Pract-Learning Dis (Elem)","013","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
