"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"","134
003","17","4.000","47.1",".",".",".",".",".",".","52.9",".",".",".",".",".",".",".","."
"","134
004","17","3.893","64.7","17.6",".",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"","134
005","20","3.042","5.0","15.0","30.0",".","10.0",".",".","40.0",".",".",".",".",".",".",".","."
"","006
134","17","3.577","41.2","5.9","29.4",".",".",".",".","23.5",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","113","3.577","31.0","19.5","9.7",".","1.8",".","0.9","36.3",".",".",".",".",".",".",".","0.9"
"","138
001","17","2.964","11.8","35.3","5.9","17.6","5.9",".","5.9","17.6",".",".",".",".",".",".",".","."
"","138
002","16","3.750","43.8","6.3","12.5",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"","003
138","11","3.625","18.2","9.1","9.1",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"","138
004","13","3.333","15.4",".",".",".","7.7",".",".","76.9",".",".",".",".",".",".",".","."
"","005
138","14","3.750","42.9","21.4","7.1",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Golf I","Course Total","71","3.439","26.8","15.5","7.0","4.2","2.8",".","1.4","42.3",".",".",".",".",".",".",".","."
"","001
140","19","3.714","26.3",".","10.5",".",".",".",".","57.9","5.3",".",".",".",".",".",".","."
"","140
002","22","3.808","45.5","9.1",".","4.5",".",".",".","40.9",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","41","3.775","36.6","4.9","4.9","2.4",".",".",".","48.8","2.4",".",".",".",".",".",".","."
"Ice Skating II","001
145","19","3.500","26.3","10.5","5.3","10.5",".",".",".","42.1",".",".",".",".",".","5.3",".","."
"","155
001","11","3.682","54.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","155
002","18","3.300","16.7","27.8","27.8","11.1",".",".",".","5.6",".",".",".",".",".","11.1",".","."
"Badminton I","Course Total","29","3.462","31.0","31.0","17.2","10.3",".",".",".","3.4",".",".",".",".",".","6.9",".","."
"","157
001","25","3.438","8.0","68.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","4.0"
"","157
002","21","3.344","4.8","42.9","28.6",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"","157
003","23","3.441","17.4","34.8","17.4","4.3",".",".",".","26.1",".",".",".",".",".",".",".","."
"Topics in Fencing","Course Total","69","3.412","10.1","49.3","21.7","1.4",".",".",".","15.9",".",".",".",".",".",".",".","1.4"
"","162
001","20","3.808","40.0","25.0",".",".",".",".",".","35.0",".",".",".",".",".",".",".","."
"","162
002","17","3.333","11.8","29.4","23.5","5.9",".",".",".","29.4",".",".",".",".",".",".",".","."
"Tennis I","Course Total","37","3.580","27.0","27.0","10.8","2.7",".",".",".","32.4",".",".",".",".",".",".",".","."
"","001
163","12","3.400","41.7","16.7","16.7",".",".","8.3",".","16.7",".",".",".",".",".",".",".","."
"","002
163","13","3.929","46.2","7.7",".",".",".",".",".","46.2",".",".",".",".",".",".",".","."
"","003
163","17","3.500","35.3","5.9","17.6",".","5.9",".",".","35.3",".",".",".",".",".",".",".","."
"","163
004","12","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","54","3.647","42.6","7.4","9.3",".","1.9","1.9",".","37.0",".",".",".",".",".",".",".","."
"Basketball I","170
001","20","3.658","60.0","10.0","20.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Soccer I","173
001","27","3.423","25.9","37.0","25.9",".",".","3.7",".","3.7","3.7",".",".",".",".",".",".","."
"","175
001","34","3.617","47.1","23.5","11.8","2.9","2.9",".",".","11.8",".",".",".",".",".",".",".","."
"","175
002","29","3.685","51.7","31.0","3.4","6.9",".",".",".","3.4",".",".",".",".",".",".","3.4","."
"","003
175","28","3.405","17.9","28.6","25.0","3.6",".",".",".","25.0",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","91","3.583","39.6","27.5","13.2","4.4","1.1",".",".","13.2",".",".",".",".",".",".","1.1","."
"Cross Country Skiing I","196
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","13","3.400","38.5","15.4","7.7",".",".",".","7.7","30.8",".",".",".",".",".",".",".","."
"","002
201","15","3.833","53.3","26.7",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","28","3.636","46.4","21.4","3.6",".",".",".","3.6","25.0",".",".",".",".",".",".",".","."
"","211
001","25","3.976","80.0","4.0",".",".",".",".",".","8.0",".",".",".",".",".","8.0",".","."
"","211
002","22","3.267",".","45.5","18.2",".","4.5",".",".","31.8",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","47","3.681","42.6","23.4","8.5",".","2.1",".",".","19.1",".",".",".",".",".","4.3",".","."
"Marathon/Distance Training","231
001","23","3.353","21.7","21.7","21.7","4.3","4.3",".",".","26.1",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 98 of 386"
