"EDUCATIONAL PSYCHOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","",""
"","301","001","68","3.649","58.8","22.1","8.8","5.9","2.9",".",".",".",".",".",".",".",".","1.5",".","."
"","301","003","54","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","","Course Total","122","3.806","77.0","12.3","4.9","3.3","1.6",".",".",".",".",".",".",".",".","0.8",".","."
"Human Dev-Infancy&Childhood","320","002","190","3.746","69.5","14.7","9.5","3.7","0.5","0.5",".","1.1",".",".",".",".",".","0.5",".","."
"Human Develop-Adolescence","321","001","177","3.235","40.7","9.6","26.0","5.6","13.0","3.4",".","1.1",".",".",".",".",".","0.6",".","."
"","699","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Research in Ed Psyc II","710","001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","","Course Total","8","3.969","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolescent Development","721","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adult Development and Aging","722","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dev Proc Across Life Span","723","001","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessment Tech-Schools I","740","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lrng&Lang Disability-Chldrn","742","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","761","001","47","3.660","59.6","12.8","27.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Test Construction","771","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773","001","28","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng II","796","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","840","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multivariate Analysis","862","001","21","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Test Theory II","871","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","920","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","920","003","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Seminar-Child Development","","Course Total","23","4.000","95.7",".",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evaluation Research","945","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child,Adoles&Fam Psychother","947","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr in School Psychology","948","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Statistics & Rsch Dsgn","961","001","17","3.844","64.7","29.4",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","990","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
