"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"Amer Environmental History","460
001","139","3.515","36.7","28.8","24.5","1.4","2.2",".",".","6.5",".",".",".",".",".",".",".","."
"Contemporary Societies","471
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Paideia:Ed in Westrn Cultur","479
001","21","3.800","66.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian History","490
001","41","3.075","9.8","29.3","36.6","12.2","4.9",".","2.4","4.9",".",".",".",".",".",".",".","."
"Reading Seminar in History","500
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mid E & Balkans 1200-1600","539
001","29","3.547","58.6","17.2","17.2",".",".",".","3.4",".",".",".",".",".","3.4",".",".","."
"Hist of Mass Communication","560
001","14","2.538","7.1",".","28.6","28.6","21.4","7.1",".","7.1",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562
001","11","3.550","63.6","9.1",".",".","18.2",".",".","9.1",".",".",".",".",".",".",".","."
"History of Books&Printing","570
001","11","3.450","18.2","54.5","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Contemp Scand&Intl Relatns","578
001","12","3.864","75.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"","600
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
002","14","3.000","7.1","28.6","28.6","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"","003
600","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
004","15","3.000","6.7","26.7","46.7",".",".",".","6.7","6.7",".",".",".",".","6.7",".",".","."
"","600
005","16","3.313","37.5","31.3","18.8","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","006
600","14","3.286","42.9","7.1","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","600
007","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
008","15","3.567","46.7","20.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
009","9","3.444","55.6","11.1","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","600
010","13","2.808","30.8","7.7","15.4","15.4","15.4","15.4",".",".",".",".",".",".",".",".",".","."
"","600
012","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
600","15","3.300","33.3","13.3","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","Course Total","167","3.433","46.7","18.6","19.8","8.4","3.0","1.2","1.2","0.6",".",".",".",".","0.6",".",".","."
"Afro-Am Hist Since 1900","636
001","9","3.188","44.4","11.1","11.1",".","11.1","11.1",".","11.1",".",".",".",".",".",".",".","."
"","680
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","680
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis Colloquium","Course Total","13","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Senior Honors Thesis","681
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
080","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","13","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","690
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Colloquium","Course Total","5","***","","","","","","","","","","","","","","","",""
