"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","114","2.833","13.2","15.8","29.8","24.6","11.4","1.8","3.5",".",".",".",".",".",".",".",".","."
"","201
002","55","2.827","12.7","18.2","25.5","16.4","25.5",".","1.8",".",".",".",".",".",".",".",".","."
"Statics","Course Total","169","2.831","13.0","16.6","28.4","21.9","16.0","1.2","3.0",".",".",".",".",".",".",".",".","."
"","202
001","22","2.762","13.6","13.6","9.1","31.8","27.3",".",".","4.5",".",".",".",".",".",".",".","."
"","202
002","23","2.761","13.0","8.7","17.4","39.1","21.7",".",".",".",".",".",".",".",".",".",".","."
"","202
003","23","2.783","13.0","13.0","26.1","30.4","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"","202
004","22","2.977","13.6","31.8","22.7","18.2","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","202
005","9","2.667","11.1",".","44.4","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","99","2.806","13.1","15.2","21.2","29.3","17.2","1.0","2.0","1.0",".",".",".",".",".",".",".","."
"Statics & Mech of Materials","214
001","12","3.167","25.0","33.3","8.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","303
001","22","2.786","4.5","9.1","40.9","22.7","18.2",".",".","4.5",".",".",".",".",".",".",".","."
"","002
303","16","2.938","25.0","6.3","25.0","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","303
003","13","2.846","15.4","15.4","23.1","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","303
004","22","3.091","13.6","22.7","36.4","22.7","4.5",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","73","2.924","13.7","13.7","32.9","26.0","9.6","2.7",".","1.4",".",".",".",".",".",".",".","."
"","304
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
003","7","2.929",".","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","304
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","15","2.800","13.3","13.3","26.7","13.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"","307
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
004","9","2.667",".","11.1","33.3","33.3","22.2",".",".",".",".",".",".",".",".",".",".","."
"","307
005","8","3.125","37.5",".","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","006
307","7","3.143","14.3","28.6","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","44","2.886","11.4","13.6","36.4","27.3","9.1",".","2.3",".",".",".",".",".",".",".",".","."
"","405
001","28","3.214","10.7","39.3","32.1","17.9",".",".",".",".",".",".",".",".",".",".",".","."
"","405
002","15","3.107","20.0","33.3","13.3","13.3","6.7","6.7",".","6.7",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","Course Total","43","3.179","14.0","37.2","25.6","16.3","2.3","2.3",".","2.3",".",".",".",".",".",".",".","."
"Fracture Mechanics","519
001","12","3.375","25.0","33.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal","540
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","42","3.262","38.1","28.6","19.0",".","4.8","7.1","2.4",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
569","18","3.056","33.3","5.6","38.9","5.6","5.6","11.1",".",".",".",".",".",".",".",".",".","."
"","569
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","Course Total","19","3.079","31.6","10.5","36.8","5.3","5.3","10.5",".",".",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech","601
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611
001","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Continua","622
001","12","3.318","25.0","8.3","58.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
