"PATHOLOGY AND LABORATOR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"402
Pathophys Princ-Hum Disease","001","","49","3.051",".","26.5","57.1","16.3",".",".",".",".",".",".",".",".",".",".",".","."
"404
Pathophys Princ-Hum Disease","001","","269","3.082","1.1","29.7","55.4","13.4",".",".","0.4",".",".",".",".",".",".",".",".","."
"626
Toxicology II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"703
General Pathology","001","","145","3.236","33.8",".","55.2",".","10.3",".",".",".",".",".",".",".",".",".","0.7","."
"709
Topics-Cell Struct & Functn","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Cellulr & Moleclr Biol/Path","001","","51","3.647","54.9","23.5","17.6","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"901
Journal Club","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"927
Lab Medicine for Physicians","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"952
Curr Topic-Virl Pathogensis","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","22","",".",".",".",".",".",".",".","86.4",".",".",".","13.6",".",".",".","."
