"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"General Chemistry","103
001","262","2.586","17.6","6.9","29.0","8.4","22.5","10.3","5.0",".",".",".",".",".",".",".","0.4","."
"","104
001","219","2.938","18.7","8.2","41.1","14.2","15.1","1.4","1.4",".",".",".",".",".",".",".",".","."
"","002
104","288","2.761","21.9","9.7","20.1","14.2","26.0","5.6","2.1",".",".",".",".",".",".","0.3",".","."
"","003
104","290","2.728","16.2","8.3","33.1","6.9","28.6","5.2","1.7",".",".",".",".",".",".",".",".","."
"","004
104","283","2.818","21.6","10.6","26.1","6.7","30.0","3.2","1.8",".",".",".",".",".",".",".",".","."
"","104
005","170","3.015","24.7","15.3","28.8","12.4","12.9","4.1","1.2",".",".",".",".",".",".","0.6",".","."
"General Chemistry","Course Total","1250","2.832","20.3","10.1","29.4","10.6","23.8","4.0","1.7",".",".",".",".",".",".","0.2",".","."
"General Chemistry","108
001","103","3.147","27.2","18.4","34.0","6.8","8.7","1.9","1.9",".",".",".",".",".",".",".",".","1.0"
"","001
110","105","3.043","16.2","24.8","30.5","16.2","9.5","1.9","1.0",".",".",".",".",".",".",".",".","."
"","110
002","113","3.115","25.7","23.0","31.0","8.8","4.4","4.4","2.7",".",".",".",".",".",".",".",".","."
"","003
110","96","3.074","32.3","14.6","19.8","14.6","12.5","3.1","2.1",".",".",".",".",".",".",".",".","1.0"
"Gen & Analytical Chem II","Course Total","314","3.078","24.5","21.0","27.4","13.1","8.6","3.2","1.9",".",".",".",".",".",".",".",".","0.3"
"Chemical Principles II","116
001","27","3.407","37.0","33.3","22.2","3.7",".",".","3.7",".",".",".",".",".",".",".",".","."
"Analytical Chemistry","221
001","53","3.377","39.6","13.2","39.6","1.9","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"","299
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
028","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
055","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","13","3.900","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry","001
343","215","2.635","15.3","13.5","19.5","11.2","29.3","9.8","1.4",".",".",".",".",".",".",".",".","."
"","344
001","15","3.300","26.7","20.0","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
344","18","3.444","38.9","22.2","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","003
344","17","3.471","35.3","29.4","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","344
004","14","3.357","35.7","14.3","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
005","17","3.235","17.6","23.5","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","006
344","16","3.344","31.3","18.8","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","344
007","17","3.441","47.1","11.8","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","008
344","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
344","17","3.353","35.3","17.6","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","010
344","16","3.500","31.3","37.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
011","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
344","18","3.444","38.9","16.7","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","013
344","18","3.472","38.9","27.8","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","344
014","17","3.441","29.4","35.3","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","015
344","18","3.278","38.9","16.7","16.7","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"","016
344","18","3.278","22.2","38.9","22.2","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","344
017","14","3.429","35.7","28.6","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
018","9","3.556","66.7",".","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","344
019","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","344
023","16","3.500","37.5","31.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
024","13","3.192","23.1","15.4","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","344
025","17","3.412","29.4","29.4","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","344
026","12","3.417","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 172 of 386",""
