"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Survey of Botany","100","001","86","3.308","31.4","31.4","25.6","4.7","2.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"Plants, Parasites, & People","123","001","66","3.292","31.8","21.2","30.3","9.1","4.5",".","1.5","1.5",".",".",".",".",".",".",".","."
"General Botany","130","001","168","2.557","18.5","6.0","27.4","3.0","26.8","17.9","0.6",".",".",".",".",".",".",".",".","."
"Genetics and Human Affairs","133","001","39","2.829","25.6","10.3","23.1","7.7","17.9","12.8",".",".",".",".",".",".",".","2.6",".","."
"Introductory Biology","151","001","20","2.725","10.0",".","55.0","15.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","152","001","7","2.286",".",".","57.1",".","14.3","28.6",".",".",".",".",".",".",".",".",".","."
"","152","002","9","3.167","22.2",".","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","152","003","13","3.192","30.8","7.7","46.2",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","29","2.966","20.7","3.4","55.2","3.4","10.3","6.9",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","94","2.824","13.8","10.6","34.0","20.2","17.0","3.2","1.1",".",".",".",".",".",".",".",".","."
"Principles-Plant Structure","305","001","17","3.559","58.8","11.8","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Fungi","332","001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vascular Flora of Wisconsin","401","001","28","3.259","39.3","21.4","17.9","7.1","3.6","3.6","3.6","3.6",".",".",".",".",".",".",".","."
"","402","001","12","3.000","16.7","25.0","33.3","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","402","002","11","3.091","18.2","36.4","18.2",".","27.3",".",".",".",".",".",".",".",".",".",".","."
"Dendrology","","Course Total","23","3.043","17.4","30.4","26.1","4.3","17.4","4.3",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","14","2.607","35.7",".","14.3","7.1","14.3","28.6",".",".",".",".",".",".",".",".",".","."
"Plant Geography","422","001","36","3.694","52.8","33.3","13.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Ecology","460","001","24","3.104","20.8","8.3","62.5","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"Envr Study/UNESCO-Biosphere","463","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"General Genetics","466","001","13","2.577","23.1","7.7","15.4",".","38.5","15.4",".",".",".",".",".",".",".",".",".","."
"Plant-Insect Interactions","473","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant Physiology","500","001","46","3.321","30.4","13.0","47.8","4.3","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"Plant-Microbe Interactions","505","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Biol,Soc&Human Values","590","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone-Field Biology II","640","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Conservation Biology","651","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","691","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","692","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","7","3.842","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
