"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","17","3.664","52.9","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","18","3.694","61.1","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","13","3.636","38.5","30.8","15.4",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","101
007","14","2.500","21.4","14.3","7.1","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".","."
"","101
008","20","3.447","45.0","30.0","5.0","5.0","5.0","5.0",".",".",".",".",".",".",".","5.0",".","."
"","101
009","20","3.175","20.0","25.0","35.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","010
101","21","3.675","61.9","23.8",".",".","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"","013
101","17","3.500","41.2","41.2",".","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","101
014","17","2.600","11.8","17.6","23.5","5.9","17.6",".","11.8","5.9",".",".",".",".",".","5.9",".","."
"First Semester French","Course Total","157","3.342","40.1","26.1","12.1","6.4","8.3","0.6","2.5","2.5",".",".",".",".",".","1.3",".","."
"","102
001","10","3.111","30.0","10.0","20.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","10.0"
"","002
102","16","3.344","31.3","31.3","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","102
003","17","3.118","11.8","41.2","23.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".","."
"","102
004","15","3.200","40.0","33.3","6.7","6.7",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"","102
005","17","2.844","17.6","29.4","17.6","11.8","5.9",".","11.8","5.9",".",".",".",".",".",".",".","."
"","102
006","14","3.107","21.4","21.4","35.7","14.3",".","7.1",".",".",".",".",".",".",".",".",".","."
"","102
007","20","3.342","20.0","55.0","10.0",".","5.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"","008
102","16","3.500","31.3","50.0","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","010
102","11","2.818","18.2","27.3","18.2","9.1","9.1","18.2",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","136","3.173","24.3","35.3","16.9","10.3","4.4","4.4","2.2","1.5",".",".",".",".",".",".",".","0.7"
"Second Sem French Honors","182
001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","19","3.000","21.1","15.8","31.6","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","203
003","19","3.105","10.5","26.3","42.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","203
005","21","2.625","9.5","23.8","19.0","9.5","19.0","9.5","4.8","4.8",".",".",".",".",".",".",".","."
"","203
007","20","3.125","20.0","30.0","20.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","203
009","14","3.000","28.6","28.6","21.4",".",".",".","14.3","7.1",".",".",".",".",".",".",".","."
"","203
014","14","2.958","21.4","21.4","7.1","14.3","14.3","7.1",".","7.1",".",".",".",".",".","7.1",".","."
"Third Semester French","Course Total","107","2.966","17.8","24.3","24.3","12.1","11.2","3.7","2.8","2.8",".",".",".",".",".","0.9",".","."
"","001
204","12","2.958",".","50.0","25.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","204
002","20","3.000","20.0","25.0","30.0","5.0","15.0",".","5.0",".",".",".",".",".",".",".",".","."
"","204
004","19","3.583","42.1","31.6","15.8","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","204
007","20","3.125","15.0","25.0","35.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","204
010","18","3.111","11.1","44.4","27.8","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
"","204
013","17","2.706","17.6","5.9","23.5","29.4","17.6",".","5.9",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","106","3.090","18.9","29.2","26.4","13.2","7.5","0.9","2.8","0.9",".",".",".",".",".",".",".","."
"","227
001","20","3.368","20.0","40.0","25.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","227
002","10","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
227","16","3.267","25.0","31.3","25.0","6.3",".","6.3",".",".",".",".",".",".",".","6.3",".","."
"Intermed Language & Culture","Course Total","46","3.307","17.4","39.1","30.4","6.5",".","2.2",".","2.2",".",".",".",".",".","2.2",".","."
"","228
002","29","3.719","62.1","17.2","10.3",".","3.4",".",".","6.9",".",".",".",".",".",".",".","."
"","228
003","22","3.473","22.7","45.5","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
004","22","3.278","13.6","36.4","40.9",".","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","73","3.512","35.6","31.5","26.0",".","2.7",".",".","4.1",".",".",".",".",".",".",".","."
"","001
271","21","3.199","14.3","47.6","19.0","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","271
002","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 208 of 386",""
