"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"468
Bldg Energy Mgmt&Space Cond","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"491","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","15","3.635","60.0","13.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"491","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","28","3.709","67.9","7.1","10.7",".","7.1",".",".","3.6",".",".",".",".",".","3.6",".","."
"492","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"492","050","","13","3.586","69.2","15.4",".",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"492","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","19","3.557","63.2","15.8","5.3","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"539
Intro-Artificl Neural Ntwrk","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"540
Exp Vib & Dynamic Sys Anal","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"545
Fluid Power","001","","7","3.214","42.9","14.3","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"558
Intro-Computationl Geometry","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"563
Intermediate Fluid Dynamics","001","","27","3.704","55.6","29.6","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"564
Heat Transfer","001","","21","3.619","47.6","28.6","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"565
Power Plant Technology","001","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"572
Intermediate Gas Dynamics","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"577
Automatic Controls Lab","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601","002","","12","3.375","33.3","25.0","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Mech Engr","Course Total","","13","3.385","30.8","30.8","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","16","3.771","68.8","6.3",".","6.3",".","6.3",".",".",".",".",".","12.5",".",".",".","."
"708
Advanced Composite Material","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"712
Qual Product&Process Design","001","","11","3.800","63.6","18.2","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"718","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"718","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"718","004","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modlng&Simlatn-Polymer Proc","Course Total","","14","3.875","64.3","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".","7.1","."
"739
Adv Automation & Robotics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"751","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 133 of 386",""
