"","646
001","","5","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","646
002","","10","4.000","100.0",".",".",".","",".",".","",".",".",".","",".",".","",".","",".",".",".","."
"Logistics Strategies","Course Total","","15","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Public Utilities","725
001","","5","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"TRAN P U
243","Dept. Total","","56","3.583","51.8","23.2","16.1","3.6","",".","",".","1.8","1.8","",".",".","",".","",".","1.8",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","4","3.500","50.0",".","50.0",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","31","3.433","41.9","25.8","19.4","6.5","",".","",".","3.2","3.2","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","36","3.457","44.4","22.2","22.2","5.6","",".","",".","2.8","2.8","",".",".","",".","",".",".",".",".","."
"Special","","","5","3.600","40.0","40.0","20.0",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","","14","3.885","71.4","21.4",".",".","",".","",".",".",".","",".",".","",".","",".","7.1",".",".","."
"Prof Yr 2","","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","56","3.583","51.8","23.2","16.1","3.6","",".","",".","1.8","1.8","",".",".","",".","",".","1.8",".",".","."
