"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","102
001","19","3.611","57.9","15.8","10.5","5.3","5.3",".",".",".",".",".",".",".",".","5.3",".","."
"","002
102","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","20","3.474","60.0","20.0","5.0",".",".","5.0","5.0","5.0",".",".",".",".",".",".",".","."
"","004
102","23","3.326","52.2","26.1","4.3","4.3","4.3",".","8.7",".",".",".",".",".",".",".",".","."
"","102
005","24","3.563","45.8","33.3","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","102
006","28","3.536","46.4","35.7","7.1","7.1",".","3.6",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","135","3.556","55.6","25.9","7.4","3.7","2.2","1.5","2.2","0.7",".",".",".",".",".","0.7",".","."
"","104
001","26","3.596","57.7","23.1","7.7","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"","002
104","23","3.630","65.2","13.0","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","003
104","23","3.370","30.4","34.8","26.1","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"","004
104","21","3.333","14.3","42.9","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","93","3.489","43.0","28.0","19.4","5.4","3.2","1.1",".",".",".",".",".",".",".",".",".","."
"","112
001","23","3.591","39.1","34.8","21.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","112
002","24","3.550","25.0","41.7","16.7",".",".",".",".","12.5","4.2",".",".",".",".",".",".","."
"","112
003","23","3.545","47.8","34.8","8.7",".",".",".","4.3","4.3",".",".",".",".",".",".",".","."
"","004
112","24","3.413","33.3","33.3","20.8","4.2",".","4.2",".",".",".",".",".",".",".","4.2",".","."
"","112
005","22","3.237","22.7","27.3","27.3","4.5",".",".","4.5","13.6",".",".",".",".",".",".",".","."
"","006
112","19","3.500","26.3","42.1","10.5",".","5.3",".",".","10.5",".",".",".",".",".","5.3",".","."
"","007
112","22","3.619","40.9","40.9","9.1","4.5",".",".",".",".",".",".",".",".",".","4.5",".","."
"","008
112","23","3.591","52.2","26.1","13.0",".",".","4.3",".",".",".",".",".",".",".","4.3",".","."
"Drawing I","Course Total","180","3.509","36.1","35.0","16.1","1.7","0.6","1.1","1.1","5.6","0.6",".",".",".",".","2.2",".","."
"Current Directions in Art","001
208","180","3.500","53.3","21.7","10.0","6.1","5.0","1.7","1.1","0.6",".",".",".",".","0.6",".",".","."
"","212
001","19","3.132","21.1","26.3","36.8","10.5",".",".","5.3",".",".",".",".",".",".",".",".","."
"","212
002","25","3.283","28.0","24.0","28.0","4.0","4.0","4.0",".",".","4.0",".",".",".",".","4.0",".","."
"","212
003","25","3.400","24.0","52.0","8.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","212
004","22","3.477","36.4","40.9","13.6",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","91","3.331","27.5","36.3","20.9","6.6","4.4","1.1","1.1",".","1.1",".",".",".",".","1.1",".","."
"","214
001","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","16","3.531","37.5","43.8","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","003
214","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","48","3.688","50.0","41.7","6.3",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","222
001","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","22","3.143","13.6","27.3","31.8","18.2","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","222
003","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
004","19","3.912","73.7","15.8",".",".",".",".",".","5.3",".",".",".",".",".","5.3",".","."
"Introduction to Painting","Course Total","61","3.543","42.6","27.9","16.4","6.6","1.6",".",".","3.3",".",".",".",".",".","1.6",".","."
"","224
001","19","3.735","42.1","47.4",".",".",".",".",".","5.3",".",".",".",".",".","5.3",".","."
"","002
224","17","3.588","35.3","47.1","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","17","3.875","82.4",".","11.8",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","53","3.730","52.8","32.1","9.4",".",".",".",".","3.8",".",".",".",".",".","1.9",".","."
"Textile Design: Off-Loom","226
001","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
001","8","3.313","25.0","12.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
002","11","3.136","9.1","18.2","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","232
003","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
232","16","3.500","31.3","37.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 73 of 386"
