"Plato","541
001","","6","4.000","83.3",".","",".",".",".",".","",".","","16.7",".","",".",".","",".","",".","",".",".","."
"Directed Study","699
007","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Individual Research Thesis","890
002","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar-Poetry","910
001","","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"GREEK
428","Dept. Total","","44","3.678","65.9","15.9","",".","6.8","4.5","",".","",".","4.5","",".",".","",".","",".","",".",".","2.3","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","4","2.667","25.0",".","",".","25.0","50.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","7","3.648","57.1","28.6","",".","14.3",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","12","3.679","58.3","33.3","",".","8.3",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","23","3.481","52.2","26.1","",".","13.0","8.7","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","4.000","100.0",".","",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","18","3.966","77.8","5.6","",".",".",".","",".","",".","11.1","",".",".","",".","",".","",".",".","5.6","."
"","Dept. Total","","44","3.678","65.9","15.9","",".","6.8","4.5","",".","",".","4.5","",".",".","",".","",".","",".",".","2.3","."
