"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"990","018","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","037","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","54","",".",".",".",".",".",".",".","87.0","5.6",".",".","7.4",".",".",".","."
"999","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","030","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","18","4.000","38.9",".",".",".",".",".",".","61.1",".",".",".",".",".",".",".","."
"ED PSYCH
315","Dept. Total","814","3.682","61.4","12.0","10.6","2.6","3.2","0.9",".","8.1","0.4",".",".","0.5",".","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","34","3.619","55.9","23.5","11.8","2.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","136","3.540","59.6","15.4","11.8","4.4","5.9","2.9",".",".",".",".",".",".",".",".",".","."
"Junior","","135","3.555","58.5","9.6","17.0","5.9","6.7",".",".",".",".",".",".",".",".","2.2",".","."
"Senior","","171","3.624","63.7","9.9","15.2","3.5","3.5","1.8",".","2.3",".",".",".",".",".",".",".","."
"Undergraduates","","476","3.580","60.5","12.4","14.5","4.4","5.3","1.5",".","0.8",".",".",".",".",".","0.6",".","."
"Special","","25","3.828","80.0","8.0","4.0",".","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"Graduate","","313","3.860","61.3","11.8","5.1",".",".",".",".","19.5","1.0",".",".","1.3",".",".",".","."
"","Dept. Total","814","3.682","61.4","12.0","10.6","2.6","3.2","0.9",".","8.1","0.4",".",".","0.5",".","0.4",".","."
