"AFRO-AMERICAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"151
Intro-Contemp Afro-Am Soc","001","","28","2.929","7.1","21.4","10.7","25.0","10.7",".",".","21.4",".",".",".",".","3.6",".",".","."
"156
Black Music&Am Cultrl Hist","001","","215","3.438","35.8","26.5","23.7","3.7","2.8","0.9","0.5","6.0",".",".",".",".",".",".",".","."
"199
Directed Study","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"231
Intro to Afro-Am History","001","","107","2.900","15.0","19.6","27.1","12.1","13.1","4.7","1.9","4.7","0.9",".",".",".",".","0.9",".","."
"237
Heroes, Rogues & Scoundrels","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"242
Intro to Afro-American Art","001","","84","3.185","31.0","19.0","31.0","2.4","8.3","1.2","3.6","3.6",".",".",".",".",".",".",".","."
"260
Latin America-Introduction","001","","10","3.350","30.0","40.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"268
Intro Lit: 1930s to Present","001","","96","3.406","33.3","36.5","18.8","7.3","1.0","3.1",".",".",".",".",".",".",".",".",".","."
"277
Africa: Introductory Survey","001","","41","3.462","36.6","24.4","24.4","9.8",".",".",".","4.9",".",".",".",".",".",".",".","."
"309
Bl Mus-Voc/Tromb/Misc Instr","001","","15","3.800","73.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"320
Contemporary African Art","001","","14","3.615","50.0","28.6","7.1",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"400
Mus Cultr: Afr, Eur, Amers","001","","9","3.333","22.2","11.1","22.2","11.1",".",".",".","33.3",".",".",".",".",".",".",".","."
"519
African Amer Political Theory","001","","21","3.275","33.3","28.6","14.3","14.3",".",".","4.8","4.8",".",".",".",".",".",".",".","."
"636
Afro-Am Hist Since 1900","001","","33","3.161","45.5","12.1","6.1","6.1","15.2","9.1",".","3.0","3.0",".",".",".",".",".",".","."
"673","001","","26","3.095","26.9","11.5","23.1","3.8","7.7","7.7",".","19.2",".",".",".",".",".",".",".","."
"673","002","","15","3.036",".","53.3","26.7","6.7",".",".","6.7",".",".",".",".",".",".","6.7",".","."
"Topics in Afro-Am Society","Course Total","","41","3.071","17.1","26.8","24.4","4.9","4.9","4.9","2.4","12.2",".",".",".",".",".","2.4",".","."
"675","001","","34","3.485","32.4","32.4","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","35","3.603","40.0","37.1","20.0",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Topics in Afro-Amer Culture","Course Total","","69","3.544","36.2","34.8","27.5",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"677
Perspctv-Black Women Writng","001","","12","3.636","50.0","16.7","25.0",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"692","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","8","3.022","50.0",".","25.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","Course Total","","22","3.567","63.6","9.1","9.1","9.1",".",".","4.5",".",".",".",".",".","4.5",".",".","."
"790","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","9","",".",".",".",".",".",".",".","66.7",".",".",".","22.2",".",".","11.1","."
