"","990
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
095","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","50","",".",".",".",".",".",".",".","88.0",".",".",".","12.0",".",".",".","."
"GENETICS
412","Dept. Total","475","3.108","36.2","9.5","19.2","7.6","9.5","4.0","1.9","10.5",".",".",".","1.3","0.2",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","30","3.186","53.3",".","20.0",".","6.7","6.7",".","13.3",".",".",".",".",".",".",".","."
"Sophomore","","42","3.182","57.1","2.4","14.3","4.8","9.5","4.8","2.4","4.8",".",".",".",".",".",".",".","."
"Junior","","89","2.656","21.3","13.5","19.1","12.4","19.1","10.1","4.5",".",".",".",".",".",".",".",".","."
"Senior","","189","3.296","50.3","9.0","17.5","9.0","9.5","2.6","1.6",".",".",".",".",".","0.5",".",".","."
"Undergraduates","","350","3.100","44.0","8.6","17.7","8.6","11.7","5.1","2.3","1.7",".",".",".",".","0.3",".",".","."
"Special","","12","2.917","33.3","8.3","41.7",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Graduate","","112","3.234","12.5","12.5","21.4","5.4","2.7",".",".","39.3",".",".",".","5.4",".",".",".","0.9"
"Prof Yr 2","","1","1.000",".",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","1.000",".",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","475","3.108","36.2","9.5","19.2","7.6","9.5","4.0","1.9","10.5",".",".",".","1.3","0.2",".",".","0.2"
