"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","70","2.993","15.7","25.7","25.7","21.4","7.1","1.4","2.9",".",".",".",".",".",".",".",".","."
"","154","001","","11","3.455","18.2","63.6","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","154","002","","14","3.286","7.1","50.0","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","","Course Total","","25","3.360","12.0","56.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210","001","","13","3.385","53.8","7.7","23.1","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","12","3.083","25.0","16.7","16.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Inter Envir & Hum Behavior","221","001","","74","3.149","24.3","24.3","27.0","16.2","4.1","2.7","1.4",".",".",".",".",".",".",".",".","."
"Interior Design I","222","001","","26","3.269","15.4","26.9","53.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","225","001","","11","3.273","36.4","18.2","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","225","002","","11","3.545","36.4","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","","Course Total","","22","3.409","36.4","31.8","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226","001","","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","","12","3.333","33.3","25.0","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229","001","","17","3.794","76.5","17.6",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","78","2.897","5.1","21.8","34.6","26.9","10.3","1.3",".",".",".",".",".",".",".",".",".","."
"","299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Design: Sketching&Rendering","320","001","","13","3.269","15.4","46.2","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","","12","3.333","33.3","50.0","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Amer Interiors,1620-1950","422","001","","30","3.179","30.0","13.3","23.3","13.3","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"Textile Dsgn: Print&Dye II","427","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","14","3.071","14.3","28.6","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","11","3.200","27.3","9.1","36.4","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","501","002","","16","3.438","18.8","50.0","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","003","","7","3.333",".","57.1","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","501","004","","8","3.500","75.0",".","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","501","005","","33","3.281","45.5","15.2","12.1","9.1","9.1","6.1",".",".",".",".",".",".",".","3.0",".","."
"Special Topics","","Course Total","","75","3.355","36.0","24.0","21.3","5.3","5.3","4.0",".","2.7",".",".",".",".",".","1.3",".","."
"Material Culture Analysis","512","001","","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","015","","11","3.694","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","019","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","","Course Total","","17","3.798","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design III","622","001","","32","3.203","15.6","31.3","31.3","21.9",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design III","625","001","","15","3.733","80.0",".","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Comparative World Costume","655","001","","17","3.265","29.4","23.5","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","691","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","6","3.846","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
