"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","48","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","22","3.386","36.4","31.8","18.2",".","13.6",".",".",".",".",".",".",".",".",".",".","."
"","160
002","19","3.132","36.8","15.8","15.8","21.1","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","003
160","14","2.929","14.3","28.6","42.9",".",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","55","3.182","30.9","25.5","23.6","7.3","7.3","1.8","3.6",".",".",".",".",".",".",".",".","."
"","170
001","20","3.525","30.0","45.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","16","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","170
003","22","3.659","36.4","59.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","58","3.569","34.5","48.3","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","117","3.129","21.4","23.1","24.8","19.7","10.3",".",".",".",".",".",".",".",".","0.9",".","."
"Geom Modeling-Engr Applcatn","232
001","110","3.136","19.1","20.0","34.5","21.8","4.5",".",".",".",".",".",".",".",".",".",".","."
"","240
001","18","2.528","16.7","16.7","11.1","11.1","27.8","11.1","5.6",".",".",".",".",".",".",".",".","."
"","240
003","16","2.906","18.8","18.8","12.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","004
240","24","2.563","4.2","16.7","25.0","20.8","25.0","4.2","4.2",".",".",".",".",".",".",".",".","."
"","240
005","19","2.553",".","21.1","15.8","15.8","47.4",".",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","77","2.623","9.1","18.2","16.9","18.2","31.2","3.9","2.6",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","006
291","11","3.500","27.3","54.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","299
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"","306
001","19","2.500","15.8","21.1","15.8","5.3","15.8","21.1","5.3",".",".",".",".",".",".",".",".","."
"","306
003","21","2.690","19.0","9.5",".","42.9","23.8","4.8",".",".",".",".",".",".",".",".",".","."
"","004
306","24","2.604","16.7","16.7","12.5","12.5","29.2","8.3","4.2",".",".",".",".",".",".",".",".","."
"","005
306","21","2.619","14.3","9.5","28.6","9.5","23.8","14.3",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","85","2.606","16.5","14.1","14.1","17.6","23.5","11.8","2.4",".",".",".",".",".",".",".",".","."
"","001
307","16","2.800","6.3","6.3","37.5","31.3","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"","307
002","16","2.906",".","31.3","31.3","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307
003","10","2.700","10.0","10.0","10.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","307
004","7","2.786",".","42.9","14.3",".","42.9",".",".",".",".",".",".",".",".",".",".","."
"","307
005","11","3.091","9.1","9.1","72.7","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","006
307","14","2.929","14.3","14.3","35.7","14.3","21.4",".",".",".",".",".",".",".",".",".",".","."
"","307
007","17","2.676","5.9","23.5","17.6","29.4","11.8","11.8",".",".",".",".",".",".",".",".",".","."
"","307
008","15","3.033","6.7","46.7","13.3","26.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","106","2.867","6.6","22.6","29.2","24.5","13.2","2.8",".","0.9",".",".",".",".",".",".",".","."
"","313
001","40","3.211","20.0","27.5","30.0","12.5","2.5","2.5",".","5.0",".",".",".",".",".",".",".","."
"","002
313","36","3.250","22.2","33.3","25.0","11.1","8.3",".",".",".",".",".",".",".",".",".",".","."
"","313
003","35","3.171","11.4","34.3","37.1","11.4","5.7",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","111","3.211","18.0","31.5","30.6","11.7","5.4","0.9",".","1.8",".",".",".",".",".",".",".","."
"","314
001","33","2.606",".","15.2","30.3","21.2","30.3","3.0",".",".",".",".",".",".",".",".",".","."
"","314
002","28","3.107","3.6","42.9","25.0","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","003
314","24","3.043","4.2","33.3","33.3","16.7","8.3",".",".",".",".",".",".",".",".","4.2",".","."
"Intro-Competitv Manufactrng","Course Total","85","2.893","2.4","29.4","29.4","22.4","14.1","1.2",".",".",".",".",".",".",".","1.2",".","."
"Intro to Dynamic Systems","001
340","61","2.627","8.2","11.5","27.9","24.6","16.4","3.3","4.9","3.3",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 131 of 386",""
