"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100","001","","204","2.868","23.0","11.8","19.6","23.0","12.7","5.9","2.0","2.0",".",".",".",".",".",".",".","."
"100","002","","229","3.156","24.5","20.1","27.9","15.7","8.3","0.9","0.4","2.2",".",".",".",".",".",".",".","."
"Weather and Climate","Course Total","","433","3.020","23.8","16.2","24.0","19.2","10.4","3.2","1.2","2.1",".",".",".",".",".",".",".","."
"101
Weather and Climate","001","","119","2.920","18.5","19.3","21.8","20.2","15.1","4.2","0.8",".",".",".",".",".",".",".",".","."
"105
Survey of Oceanography","001","","26","3.386","26.9","30.8","23.1","11.5","3.8",".",".",".",".",".",".",".",".",".",".","3.8"
"121
Atmspherc Envirnmnt&Society","001","","71","2.789","15.5","14.1","25.4","19.7","19.7","2.8","2.8",".",".",".",".",".",".",".",".","."
"171
Global Chg: Atmospheric Iss","001","","64","3.279","21.9","29.7","29.7","7.8","6.3",".",".","1.6",".",".",".",".","1.6","1.6",".","."
"265
Intro-Phy Ocn/Scntsts&Engrs","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"311
Dynamic-Atmosphere&Ocean II","001","","21","2.714","23.8",".","23.8","19.0","23.8","9.5",".",".",".",".",".",".",".",".",".","."
"340
Physics-Atmosphere&Ocean II","001","","21","3.286","14.3","33.3","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"401
Topics in Meteorology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"405
AOS Senior Capstone Seminar","001","","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"453
Syn Lab II-Mesoscale Meteor","001","","19","3.263","26.3","21.1","42.1",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"472
Sci Bckgrnd-Globl Envr Prob","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"559
Weekly Weather Watch","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"611
Geophys Fluid Dynamics II","001","","12","3.500","33.3","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"637
Cloud Physics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Radiatn in Atmosphere&Ocean","001","","9","3.563","22.2","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"650
Analysis of Atmospheric Sys","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698
Directed Study","029","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699
Directed Study","029","","20","3.886","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"907
Smr:Ph.D. Rsch Presentatns","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"931
Seminar-Cloud Physics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932
Smr-Atmospheric Chemistry","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","37","",".",".",".",".",".",".",".","89.2",".",".",".","10.8",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
