"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"Federal Estate&Gift Taxatn","723
001","","13","3.231","23.1","30.8","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Income Taxatn&Bus Decisions","729
001","","20","3.425","15.0","55.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
002","","43","3.721","58.1","27.9","14.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mgmnt Cntrl & Cost Acct","Course Total","","58","3.767","63.8","25.9","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","","16","3.400","25.0","25.0","43.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","971
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","971
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","","4","***","","","","","","","","","","","","","","","",""
