"CURRICULUM AND INSTRUCTIO Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"399
095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Independent Study","","6","3.722","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"408
001
Student Teaching-Japanese","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"422
001
Tchg Child Lit-Elem & Middl","","70","3.829","85.7","11.4",".",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"425
001
Concrn&Constrnt-Tch Yng Chl","","25","3.920","92.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"431
001
Young Adult Lit for Schools","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"446
001
Stdt Teach-Sec Schl French","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"447
001
Stdt Teach-Sec Schl German","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"455
001
Student Teaching in Latin","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"456
001
Stdt Teach-Sec Schl Spanish","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"457
001
Stdt Tchg-Health Education","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"458
001
Stdt Tch-His&Soc St Mid Sch","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"459
001
Stdt Tchg Hist&Soc St in HS","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"463
001
Seminar:K-Mid Schl Teaching","","65","3.946","89.2","10.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
001","","45","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"464
002","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"464
003","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Tchg in Elem School","","62","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"465
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"465
002","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Tchg-Kindergarten","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"466
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"466
002","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Elem","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"467
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"467
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Secndry","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"472
001
Stdt Teaching Engl-Mid Schl","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"490
001
Stdt Teach-Science in H.S.","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"492
001
Student Teaching-Com Dis","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"494
001
Student Teaching in HS Math","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"495
001
Stdt Teach Sci-MiddleSchl","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"496
001
Stdt Teaching-English in HS","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"497
001
Stdt Teach-Middle Schl Math","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"498
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"498
002","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Teaching-Middle School","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"501
001
Health Info for Teachers","","95","3.832","76.8","14.7","6.3","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"504
001
Literacy Assessmnt&Interventn","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
001
Strategy-Inclusive Schoolng","","73","3.774","75.3","16.4","4.1","1.4","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"541
001
Org&Adm-School Hlth Progms","","30","3.867","76.7","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"542
001
Teacher Ed-Alcohol & Drugs","","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 87 of 386"
