"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","",""
"LANDSCAPE ARCHITECTURE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","",""
"History of Landscape Arch","260","001","","76","2.858","11.8","13.2","25.0","30.3","17.1",".",".","1.3",".",".",".",".",".","1.3",".","."
"Landscape Plants II","264","001","","6","2.667","33.3",".","33.3",".",".","33.3",".",".",".",".",".",".",".",".",".","."
"Independent Studies","299","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","312","001","","21","3.048","14.3","19.0","38.1","19.0","9.5",".",".",".",".",".",".",".",".",".",".","."
"","312","002","","18","3.111","27.8","11.1","22.2","33.3","5.6",".",".",".",".",".",".",".",".",".",".","."
"Graphics for Designers","","Course Total","","39","3.077","20.5","15.4","30.8","25.6","7.7",".",".",".",".",".",".",".",".",".",".","."
"Housing and Urban Design","351","001","","16","3.656","56.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Arch Technology I","353","001","","22","3.023","9.1","27.3","31.8","22.7","9.1",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","","14","2.893","21.4","14.3","35.7","7.1","14.3",".","7.1",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","","21","3.476","28.6","38.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Open Space Planning&Design","451","001","","17","3.382","17.6","41.2","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolution-American Planning","463","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Project in Land Arc","551","001","","23","3.000","13.0","26.1","26.1","17.4","17.4",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant Commun Restoratn&Mgmt","651","001","","23","3.475","43.5","21.7","4.3","8.7","8.7",".",".",".",".",".",".",".","8.7","4.3",".","."
"Computerzd Land Info Systms","655","001","","25","2.896","24.0","12.0","24.0","16.0","12.0","4.0","4.0","4.0",".",".",".",".",".",".",".","."
"Cult Rsrce Presrv&Lndsc Hst","677","001","","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Nat Plnt Comm Restoratn&Mgt","866","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regional Design Workshop","920","001","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"","990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","12","",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".",".",".","."
"","999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","","Course Total","","4","***","","","","","","","","","","","","","","","",""
