"AGRICULTURAL AND APPLIED E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"","215","001","","30","3.083","26.7","10.0","36.7","6.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"","215","002","","78","2.740","11.5","14.1","20.5","19.2","32.1","1.3",".",".",".",".",".",".",".",".","1.3","."
"Intro to Agr & Applied Econ","","Course Total","","108","2.836","15.7","13.0","25.0","15.7","28.7","0.9",".",".",".",".",".",".",".",".","0.9","."
"","299","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"The Internatl Ag Economy","319","001","","14","3.321","35.7","35.7","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Commodity Markets","322","001","","47","2.522","10.6","4.3","27.7","12.8","34.0","6.4","2.1",".",".",".",".",".",".",".","2.1","."
"Agric & Natrl Resources Law","336","001","","27","3.222","29.6","25.9","14.8","18.5","11.1",".",".",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","","7","3.360","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","344","001","","8","2.929","25.0","12.5","25.0",".","12.5","12.5",".","12.5",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","","9","3.375","44.4","11.1",".","33.3",".",".",".","11.1",".",".",".",".",".",".",".","."
"","399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Production Economics","420","001","","8","3.375","37.5","37.5",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Econ Analysis-Agric Markets","421","001","","21","3.381","33.3","14.3","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462","001","","18","3.278","38.9","16.7","22.2","5.6","16.7",".",".",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","","17","3.397","41.2","23.5","17.6","5.9",".","5.9",".",".","5.9",".",".",".",".",".",".","."
"Community Economic Analysis","520","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575","003","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","9","3.875","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Econometric Anal","636","001","","14","3.500","21.4","42.9","21.4",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr","652","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","","14","3.536","50.0","14.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","23","3.638","65.2","8.7","17.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Applied Microeconomics","705","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutional Economics","707","001","","9","3.750","55.6","22.2","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Pract:Ag&Appl Econ Teaching","799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","001","","7","3.667","28.6","57.1",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","875","002","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","16","3.633","37.5","43.8","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
