"PhD Thesis-Finance","Course Total","8","",".",".",".",".",".",".","",".","87.5",".",".",".","12.5","",".",".",".","."
"","999
046","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","999
053","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Reading & Rsch-Finance PhD","Course Total","2","***","","","","","","","","","","","","","","","","","",""
"FINANCE
233","Dept. Total","1440","3.228","27.3","19.2","33.3","10.0","7.1","0.9","",".","1.9",".",".",".","0.1","",".","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","",""
"Junior","","321","3.223","24.0","21.5","34.9","14.0","4.0","0.6","",".","0.6",".",".",".",".","",".","0.3",".","."
"Senior","","667","3.042","19.6","12.9","38.5","14.2","12.4","1.0","",".","0.9",".",".",".",".","",".","0.1","0.1","."
"Undergraduates","","988","3.101","21.1","15.7","37.3","14.2","9.7","0.9","",".","0.8",".",".",".",".","",".","0.2","0.1","."
"Special","","38","3.068","36.8","5.3","28.9",".","10.5","10.5","",".","2.6",".",".",".",".","",".",".","5.3","."
"Graduate","","404","3.576","42.3","28.7","23.0","0.7","0.5",".","",".","4.5",".",".",".","0.2","",".",".",".","."
"Prof Yr 2","","3","3.333",".","66.7","33.3",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 3","","7","3.000",".","14.3","71.4","14.3",".",".","",".",".",".",".",".",".","",".",".",".","."
"Professionals","","10","3.100",".","30.0","60.0","10.0",".",".","",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","1440","3.228","27.3","19.2","33.3","10.0","7.1","0.9","",".","1.9",".",".",".","0.1","",".","0.1","0.2","."
