"","990
017","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
18","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
19","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","22","",".",".",".",".",".","",".","",".","86.4",".",".",".","13.6","",".",".",".","."
"PHMCOL-M
724","Dept. Total","103","3.556","32.0","25.2","20.4",".","1.0","",".","",".","18.4",".",".",".","2.9","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.000",".",".","100.0",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","3","3.813","66.7","33.3",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","6","3.767","66.7","16.7","16.7",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","92","3.485","27.2","27.2","21.7",".","1.1","",".","",".","19.6",".",".",".","3.3","",".",".",".","."
"Prof Yr 1","","2","4.000","50.0",".",".",".",".","",".","",".","50.0",".",".",".",".","",".",".",".","."
"Prof Yr 4","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Professionals","","5","4.000","80.0",".",".",".",".","",".","",".","20.0",".",".",".",".","",".",".",".","."
"","Dept. Total","103","3.556","32.0","25.2","20.4",".","1.0","",".","",".","18.4",".",".",".","2.9","",".",".",".","."
