"STATISTICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"","201","001","","74","2.784","29.7",".","31.1",".","31.1","4.1","4.1",".",".",".",".",".",".",".",".","."
"","201","002","","62","2.637","16.1","19.4","21.0","11.3","14.5","11.3","6.5",".",".",".",".",".",".",".",".","."
"Principles of Statistics","","Course Total","","136","2.717","23.5","8.8","26.5","5.1","23.5","7.4","5.1",".",".",".",".",".",".",".",".","."
"","224","001","","65","2.877","15.4","24.6","24.6","15.4","9.2","9.2","1.5",".",".",".",".",".",".",".",".","."
"","224","002","","84","2.512","17.9","6.0","22.6","3.6","36.9","8.3","4.8",".",".",".",".",".",".",".",".","."
"","224","003","","60","2.592","10.0","10.0","31.7","8.3","30.0","8.3","1.7",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","","Course Total","","209","2.648","14.8","12.9","25.8","8.6","26.3","8.6","2.9",".",".",".",".",".",".",".",".","."
"","301","001","","96","3.016","19.8","19.8","28.1","12.5","16.7","1.0","1.0","1.0",".",".",".",".",".",".",".","."
"","301","002","","97","3.203","29.9","16.5","32.0","9.3","9.3","2.1",".","1.0",".",".",".",".",".",".",".","."
"","301","003","","85","3.054","31.8","12.9","24.7","11.8","11.8","2.4","3.5",".",".",".",".",".",".",".",".","1.2"
"","301","004","","93","3.065","34.4","12.9","17.2","8.6","22.6","2.2","1.1","1.1",".",".",".",".",".",".",".","."
"","301","005","","58","2.857","15.5","24.1","19.0","17.2","12.1","5.2","3.4","1.7",".",".",".",".","1.7",".",".","."
"Intro-Statistical Methods","","Course Total","","429","3.056","27.0","16.8","24.7","11.4","14.7","2.3","1.6","0.9",".",".",".",".","0.2",".",".","0.2"
"Intro to Math Statistics","310","001","","17","3.265","52.9","5.9","23.5",".","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","311","001","","67","2.792","16.4","10.4","28.4","9.0","29.9","1.5","1.5","1.5",".",".",".",".",".",".",".","1.5"
"Intro to Mathematical Stat","312","001","","57","3.114","21.1","22.8","29.8","14.0","10.5","1.8",".",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324","001","","26","3.385","34.6","30.8","19.2","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333","001","","36","3.338","36.1","36.1","11.1",".","2.8","5.6","2.8","5.6",".",".",".",".",".",".",".","."
"Introduction to Time Series","349","001","","16","3.286","31.3","25.0","12.5","12.5",".","6.3",".","6.3",".",".",".",".",".","6.3",".","."
"Intro Nonparametric Stats","351","001","","10","3.500","30.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".","."
"Intro Applied Stats-Life Sci","371","001","","34","3.206","32.4","20.6","20.6","14.7","8.8","2.9",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424","001","","39","3.461","33.3","33.3","25.6",".","5.1",".",".",".",".",".",".",".",".","2.6",".","."
"","431","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","431","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","","Course Total","","7","2.000",".",".","28.6",".","28.6","28.6",".","14.3",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Clinical Trials","542","001","","20","3.816","65.0","25.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572","001","","60","3.440","28.3","33.3","31.7","1.7","1.7",".",".","3.3",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","610","001","","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistcl Mthds-Epidemiolgy","642","001","","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mathematical Statistics","710","001","","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Multivariate Analysis","756","001","","14","3.786","78.6",".","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Decision Theory","829","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability","832","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thry&Appl-Regres&Anal VarII","850","001","","21","3.548","33.3","42.9","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Generalized Linear Models","851","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 302 of 386",""
