"","890
009","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","890
040","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Pre-Dissertator Research","Course Total","5","***","","","","","","","","","","","","","","","","","","",""
"Research and Thesis","990
040","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"E M A
346","Dept. Total","622","2.995","19.0","18.5","27.2","18.3","10.9","2.3","1.4","1.9","",".",".","",".","0.3","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","52","2.846","11.5","15.4","32.7","19.2","19.2",".","1.9",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","175","2.813","9.7","18.3","27.4","25.1","15.4","1.1","2.3","0.6","",".",".","",".",".","",".",".",".","."
"Junior","","141","2.948","19.9","19.1","25.5","20.6","9.9","2.1","2.8",".","",".",".","",".",".","",".",".",".","."
"Senior","","169","3.060","23.7","20.1","24.3","16.0","10.1","5.3",".","0.6","",".",".","",".",".","",".",".",".","."
"Undergraduates","","537","2.931","16.9","18.8","26.4","20.5","12.7","2.6","1.7","0.4","",".",".","",".",".","",".",".",".","."
"Special","","4","3.125",".","50.0","25.0","25.0",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","81","3.463","33.3","14.8","32.1","3.7",".",".",".","12.3","",".",".","",".","2.5","",".",".","1.2","."
"","Dept. Total","622","2.995","19.0","18.5","27.2","18.3","10.9","2.3","1.4","1.9","",".",".","",".","0.3","",".",".","0.2","."
